"고유번호","구명","품계수종","수고","관리등급","위치","환경영향","전정","도로길이","구번호","전선유무","순번","품계활력","흉고지름","품계위치","수관너비","현존유무","관리기관","피해정도","주변토지사용상태","방재","관리방안","수목고유번호","차선수","보호덮개","가로명","가치등급","품계퓽고","수목명","X 좌표","Y 좌표"
"OBJECTID","GU_NM","TRE_SOM","THT_HG","MGE_LVL","LC","EVMT_IFNE","RPRUNG_CN","ROAD_LT","GU_NO","ETRC_YNO","SN","ITM_ERY","BHT_DM","RNK_LC_CN","WTRTB_BT","EXT_YNO","MGE_ORG","DME_ETT","CMFE_LU_STTN","DSPRVN_CN","MGE_MTE","TRE_IDN","TFCLNE_CO","PTN_CVR","WIDTH_NM","VAL_LVL","RNK_BHT_HG","WDPT_NM","X","Y"
"20000031","중구","8","5","2","광희초등학교","0","","0","02","2","306","8","18","12","3","0","공원녹지과","0","0","2010. 진딧물 방제","0","2-다산로-가-0312","","1","다산로","0","3","느티나무","201413.805","451774.53"
"20000032","중구","4","3.5","2","","0","","1150","02","2","1","8","12","9","3","0","공원녹지과","0","0","","0","2-돈화문로-가-00051","","1","돈화문로","0","6","이팝나무","199369.423","451738.693"
"20000033","중구","4","3.5","2","","0","","1150","02","2","1","8","12","9","3","0","공원녹지과","0","0","","0","2-돈화문로-가-00077","","1","돈화문로","0","6","이팝나무","199340.344","452056.363"
"20000035","중구","8","8","1","삼각동","0","","0","02","2","149","8","15","12","6","0","공원녹지과","2","0","2010. 진딧물 및 흰불나방 등 지상방제","0","2-청계천로-가-0152","","1","청계천로","0","6","회화나무","198644.22","452093.71"
"20000036","중구","8","10","1","신한은행","0","","0","02","2","400","8","25","12","5","0","공원녹지과","","0","2010. 흡즙성및천공성 해충종합방제","0","2-태평로-가-0400","","1","태평로","0","6","소나무","197773.066","451247.136"
"20000037","중구","8","7","2","삼성APT","0","","0","02","2","241","8","17","6","5","0","공원녹지과","2","0","","0","2-금호동길-가-0241","","1","금호동길","0","3","은행나무","201493.039","451036.996"
"20000038","중구","8","24","2","부림빌딩","0","","0","02","2","236","8","24","9","12","0","공원녹지과","2","0","","0","2-을지로-가-0236","","1","을지로","0","6","은행나무","198239.328","451924.589"
"20000040","중구","4","10","2","포스코","0","","0","02","2","34","8","25","9","5","0","공원녹지과","","0","2010. 흡즙성및천공성 해충종합방제","0","2-칠패길-가-0034","","1","칠패길","0","9","소나무","197510.19","451128.34"
"20000041","중구","8","12","2","예원학교","0","","0","02","2","92","8","28","6","7","0","공원녹지과","2","0","","0","2-덕수궁길-가-0091","","1","덕수궁길","0","6","은행나무","197505.195","451858.708"
"20000042","중구","8","15","2","신아일보","0","","0","02","2","87","8","25","6","8","0","공원녹지과","2","0","","0","2-덕수궁길-가-0086","","1","덕수궁길","0","6","은행나무","197526.039","451844.905"
"20000043","중구","8","30","1","파출소","0","","0","02","2","235","8","35","12","14","0","공원녹지과","2","0","","0","2-태평로-가-0235","","1","태평로","0","9","은행나무","197953.636","451888.686"
"20000044","중구","8","16","1","부산은행","0","","0","02","2","293","8","30","12","6","0","공원녹지과","2","0","","0","2-을지로-가-0293","","1","을지로","0","6","은행나무","198213.646","451843.442"
"20000045","중구","8","14","1","상동교회","0","","0","02","2","99","8","30","12","5","0","공원녹지과","2","0","","0","2-남대문로-가-099","","1","남대문로","0","6","은행나무","198160.524","451287.799"
"20000046","중구","4","12","1","","0","","0","02","1","96","8","15","9","8","0","공원녹지과","2","0","","0","2-배오개길-가-0096","","1","배오개길","0","12","은행나무","199834.929","451777.456"
"20000047","중구","8","28","1","삼성전자입구","0","","0","02","2","131","8","32","12","14","0","공원녹지과","2","0","","0","2-훈련원로-가-0131","","1","훈련원로","0","9","은행나무","200266.201","451507.329"
"20000049","중구","8","10","1","마포로5구역","0","","0","02","2","126","8","20","12","5","0","공원녹지과","1","0","","0","2-서소문로-가-0126","","1","서소문로","0","6","소나무","197057.091","451267.284"
"20000050","중구","8","16","1","중앙일보사","0","","0","02","2","158","8","31","12","10","0","공원녹지과","2","0","","0","2-서소문로-가-0160","","1","서소문로","0","9","은행나무","197401.466","451394.95"
"20000051","중구","8","12","1","동대문운동장","0","","0","02","2","223","8","26","12","6","0","공원녹지과","1","0","","0","2-홍인문로-가-0219","","1","홍인문로","0","6","은행나무","200681.351","451744.123"
"20000052","중구","8","13","2","서울역","0","","0","02","2","170","8","10","12","6","0","공원녹지과","2","0","","0","2-의주로-가-0170","","1","의주로","0","3","은행나무","197474.833","450950.128"
"20000053","중구","8","8","2","동국대","0","","0","02","2","1","8","15","12","6","0","공원녹지과","2","0","2010. 진딧물 및 흰불나방 등 지상방제","0","2-장춘단길-가-0005","","1","장춘단길","0","3","회화나무","200507.942","451026.249"
"20000054","중구","8","15","1","한빛은행","0","","0","02","2","73","8","35","12","7","0","공원녹지과","2","0","","0","2-반포로-가-0073","","2","반포로","0","9","은행나무","198486.551","450970.22"
"20000056","중구","8","30","1","정화측기사","0","","0","02","2","169","8","40","12","12","0","공원녹지과","2","0","","0","2-남대문로-가-0175","","1","남대문로","0","9","은행나무","198499.865","451947.899"
"20000057","중구","8","8","2","동국대","0","","0","02","2","1","8","15","12","6","0","공원녹지과","2","0","2010. 진딧물 및 흰불나방 등 지상방제","0","2-장춘단길-가-0066","","1","장춘단길","0","3","회화나무","200346.56","450659.172"
"20000058","중구","8","18","1","신남문빌딩","0","","0","02","2","61","8","31","12","9","0","공원녹지과","2","0","","0","2-남대문로-가-0061","","1","남대문로","0","9","은행나무","197799.598","451061.352"
