"공원번호","공원명","주소","지역","관리부서","이미지","전화번호","X좌표(WGS84)","Y좌표(WGS84)","X좌표(GRS80TM)","Y좌표(GRS80TM)"
"P_IDX","P_PARK","P_ADDR","P_ZONE","P_DIVISION","P_IMG","P_ADMINTEL","LONGITUDE","LATITUDE","G_LONGITUDE","G_LATITUDE"
"70","초안산근린공원","서울 도봉구 창동 산48-4번지 일대","","공원녹지과","http://parks.seoul.go.kr/upload/parks/1308025824989374000.JPG","02-2091-3753","127.04140333546938","37.64749444296929","203653.8950","460875.1060"
"72","마로니에공원","서울특별시 종로구 동숭동 1-124","","종로구 공원녹지과","http://parks.seoul.go.kr/upload/parks/1656014188043452.jpg","02-2148-4158","127.00273150558077","37.58048753028889","200241.2751","453437.2605"
"73","자매공원","서울 영등포구 여의도동 56번지","영등포구","푸른도시과","http://parks.seoul.go.kr/upload/parks/1306305063334576000.jpg","02-2670-3755","126.93049068607625","37.51757483705824","193855.0485","446456.9755"
"89","오동공원","서울 강북구 번동, 미아동 일대","강북구","푸른도시과","http://parks.seoul.go.kr/upload/parks/4275288487447985.jpg","02-901-6924","127.02974226199258","37.62967029996751","202625.4181","458896.4203"
"3","길동생태공원","서울특별시 강동구 천호대로 1291(둔촌동 558)","동부공원녹지사업소","길동생태공원 관리사무소","http://parks.seoul.go.kr/upload/parks/4682892471625863.jpg","02-472-2770","127.15456544940216","37.54003115080733","213660.2231","448958.3043"
"59","대모산공원","서울특별시 강남구 개포동 산 53-22","강남구","공원녹지과","http://parks.seoul.go.kr/upload/parks/1655561605211276.jpg","02-2104-1921","127.06732444234832","37.47362591077084","205955.2873","441579.0767"
"76","명일근린공원","서울특별시 강동구 상일동 135일대","강동구","푸른도시과","http://parks.seoul.go.kr/upload/parks/4272641899195010.jpg","02-3425-6440","127.16236081086863","37.55542443483069","214346.2135","450667.9359"
"81","아시아공원","서울 송파구 잠실동 84번지","송파구","푸른도시과","http://parks.seoul.go.kr/upload/parks/4319334375065267.jpg","02-2147-3380","127.08725723570504","37.51406340495436","207714.3133","446068.5581"
"4","서울대공원","경기도 과천시 대공원광장로 102","기타","","http://parks.seoul.go.kr/upload/parks/4325398927348867.jpg","02-500-7335","126.82739139721939","37.53501452950413","184744.1315","448404.2943"
"12","광화문시민열린마당","서울특별시 종로구 세종로 76-2","중부공원녹지사업소","녹지관리과","http://parks.seoul.go.kr/upload/parks/1654625766779576.jpg","02-3783-5950","126.97691459345133","37.57243189395082","197960.6361","452543.4247"
"13","구파발폭포(진관근린공원)","서울특별시 은평구 진관동 393","은평구","공원녹지과 구파발폭포 관리사무소","http://parks.seoul.go.kr/upload/parks/1654801850127041.jpg","02-387-0236","126.91909441801305","37.637104666776715","192858.9885","459724.2201"
"22","간데메공원","서울특별시 동대문구 서울시립대로2길 59","중부공원녹지사업소","공원운영과","http://parks.seoul.go.kr/upload/parks/4308775833269591.jpg","02-2249-2770","127.04875269925328","37.57334053139896","204306.7593","452645.1397"
"1006","월천근린공원","(132-040) 서울특별시 도봉구 창동 28번지","","공원녹지과","http://parks.seoul.go.kr/upload/parks/1308018983685275000.JPG","02-2091-3754","127.05089162883012","37.64756994591859","204491.2440","460883.8980"
"45","경희궁","서울특별시 종로구 새문안길 50","종로구","공원녹지과","http://parks.seoul.go.kr/upload/parks/4666756431104791.jpg","02-731-1650","126.97210422528529","37.57645420572058","197535.8209","452989.9701"
"47","계남공원","서울특별시 양천구 신정동 산44-2일대","양천구","푸른도시과","http://parks.seoul.go.kr/upload/parks/4321202414009043.jpg","02-2620-3570","126.84818849171646","37.513509505438876","186578.4147","446014.3329"
"112","일자산 도시자연공원","서울 강동구 동남로 660(둔촌동 산 140번지) 일대","","푸른도시과","http://parks.seoul.go.kr/upload/parks/4273689565138027.jpg","02-3425-6440","127.15766493984417","37.547618621837294","213932.7387","449800.8771"
"117","수락산공원","서울 노원구 상계동 일대","","공원녹지과","http://parks.seoul.go.kr/upload/parks/4307894124358822.jpg","02-2116-3966","127.07560645263892","37.674334264259564","206669.9605","463855.9429"
"119","선유도공원","(07200)서울시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소","서부공원녹지사업소"," 선유도공원관리사무소","http://parks.seoul.go.kr/upload/parks/1351559713519959000.jpg","02-2631-9368,2634-7250","126.89966495515361","37.54363003827882","191132.9927","449351.2411"
"71","동명근린공원","서울특별시 강동구 고덕동 229일대","강동구","푸른도시과","http://parks.seoul.go.kr/upload/parks/1655879674809787.jpg","02-3425-6440","127.16753532972912","37.55981628083511","214802.5659","451156.1815"
"85","염창공원","서울 강서구 염창동 산24-1","강서구","공원녹지과","http://parks.seoul.go.kr/upload/parks/1660617806284038.jpg","02-2600-4186","126.86882688348484","37.55793583281941","188409.9239","450942.3687"
"1","남산공원","서울특별시 중구 삼일대로 231(예장동)","중부공원녹지사업소","","http://parks.seoul.go.kr/upload/parks/1449130002717251000.jpg","02-3783-5900","126.98993127745577","37.55395035246403","199110.3097","450491.9883"
"5","서울숲","(133-111) 서울특별시 성동구 뚝섬로 273(성수1가1동 685) ","동부공원녹지사업소","서울숲공원관리사무소","http://parks.seoul.go.kr/upload/parks/1319161694170811000.jpg","02-460-2901","127.03946862740524","37.54516080769251","203487.9280","449517.1390"
"16","중마루공원","서울특별시 영등포구 영등포동2가 222","영등포구","푸른도시과","http://parks.seoul.go.kr/upload/parks/1296886975827095.jpg","02-2670-3755","126.91138312583854","37.5197982443168","192166.0821","446705.1653"
"24","영등포공원","서울특별시 영등포구 영등포동 582-3번지","","푸른도시과","http://parks.seoul.go.kr/upload/parks/1314337565423830000.jpg","02-2670-3715~7","126.91087103946545","37.515249506737945","192120.3343","446200.3555"
"25","보라매공원","서울특별시 동작구 여의대방로 20길33(신대방동 395)","동부공원녹지사업소","보라매공원 관리사무소","http://parks.seoul.go.kr/upload/parks/1655677412418338.jpg","02-2181-1187~96","126.9198765999519","37.49284409238373","192914.3761","443712.9265"
"36","관악산공원","서울특별시 관악구","관악구","공원녹지과","http://parks.seoul.go.kr/upload/parks/4306716542285961.jpg","02-880-3682,5","126.981760726654","37.46155837436096","198386.3577","440237.7715"
"55","까치산공원","서울특별시 동작구 사당동 산32","동작구","공원녹지과","http://parks.seoul.go.kr/upload/parks/4309515977144022.jpg","02-820-1395","126.96565546163369","37.483616818874445","196962.4055","442686.3593"
"56","꿩고개공원","서울특별시 강서구 방화동 산110","","공원녹지과","http://parks.seoul.go.kr/upload/parks/4683192712956255.jpg","02-2600-4183","126.8159922695709","37.580125993583465","183746.4297","453413.0479"
"61","갈산공원","서울 양천구 신정동 산73-4일대","","푸른도시과","http://parks.seoul.go.kr/upload/parks/4320268504769182.jpg","02-2620-3570","126.86782301591406","37.50687670263348","188313.2607","445275.5563"
"68","도산공원","서울특별시 강남구 신사동 649-9","","공원녹지과","http://parks.seoul.go.kr/upload/parks/1655787368510802.jpg","02-3423-6245","127.03513351237059","37.524395270902495","203105.6855","447212.2679"
"54","궁산공원","서울특별시 강서구 가양동 산6-4","강서구","공원녹지과","http://parks.seoul.go.kr/upload/parks/4276122917714681.jpg","02-2600-4185","126.84082515195209","37.57416819775715","185938.8221","452747.7941"
