"지점명","주소","위치","관리자","등록일"
"SCAPTION","SITEADDRESS","LCAPTION","MANAGERNAME","REGDATE"
"[기] 서울","종로구 송월길 52(서울기상관측소)","기상청 관측소","기상청","2008"
"[기] 김포공항","강서구 공항동","기상청 관측소","기상청","2008"
"[기] 강남","강남구 봉은사로 63길 22(서울삼릉초등학교)","기상청 관측소","기상청","2008"
"[기] 서초","서초구 서초중앙로 96(서울교육대학교)","기상청 관측소","기상청","2008"
"[기] 강동","강동구 고덕로 183(서울종합직업전문학교)","기상청 관측소","기상청","2008"
"[기] 송파","송파구 올림픽로 240(롯데월드)","기상청 관측소","기상청","2008"
"[기] 강서","강서구 우장산로10길 112(한국폴리텍1대학)","기상청 관측소","기상청","2008"
"[기] 양천","양천구 목동동로 298(목동주차장)","기상청 관측소","기상청","2008"
"[기] 도봉","도봉구 시루봉로 173(신방학초등학교)","기상청 관측소","기상청","2008"
"[기] 노원","노원구 공릉동 산 230-3 사서함 77호(육군사관학교)","기상청 관측소","기상청","2008"
"[기] 동대문","동대문구 서울시립대로 163(서울시립대학교)","기상청 관측소","기상청","2008"
"[기] 중랑","중랑구 면목로57길 32(면동초등학교)","기상청 관측소","기상청","2008"
"[기] 기상청","동작구 여의대방로16길 61(기상청)","기상청 관측소","기상청","2008"
"[기] 마포","마포구 창전동 산1-75 와우산(제1025부대)","기상청 관측소","기상청","2008"
"[기] 서대문","서대문구 연세로 50(연세대학교)","기상청 관측소","기상청","2008"
"[기] 광진","광진구 자양2동 680-67(제5858부대)","기상청 관측소","기상청","2008"
"[기] 성북","성북구 정릉로 77(국민대학교 과학관)","기상청 관측소","기상청","2008"
"[기] 용산","용산구 이촌로 255(신용산초등학교)","기상청 관측소","기상청","2008"
"[기] 은평","은평구 진관동 산26(방패교육대)","기상청 관측소","기상청","2008"
"[기] 금천","금천구 시흥대로104길 31(독산초등학교)","기상청 관측소","기상청","2008"
"[기] 한강","영등포구 여의동로 280(여의도세모유람선)","기상청 관측소","기상청","2008"
"[기] 중구","중구 소파로 83(남산케이블카)","기상청 관측소","기상청","2008"
"[기] 성동","성동구 서울숲길 18(성수중학교)","기상청 관측소","기상청","2008"
"[기] 북악산","종로구 북악산로 267","기상청 관측소","기상청","2008"
"[기] 구로","구로구 부일로 893(온수초등학교)","기상청 관측소","기상청","2008"
"[기] 강북","강북구 도봉로89길 13(강북구청)","기상청 관측소","기상청","2008"
"[기] 남현","서울특별시 관악구 남현동 사서함 20003호","","기상청","2013-02-18"
"[기] 관악","관악구 관악로 1(서울대학교 대기환경관측소)","기상청 관측소","기상청","2008"
"[기] 영등포","영등포구 국회대로53길 20(서울영동초등학교)","기상청 관측소","기상청","2008"
"[기] 현충원","서울특별시 동작구 현충로 210(국립서울현충원)","","기상청","2013-02-18"
"[서] 남산","중구 삼일대로 231(예장동 산 5-85)","서울시청 남산별관(4층)","김우용","2009-01-08"
"[서] 동대문","동대문구 한천로 326(휘경동 348)","휘경 빗물 펌프장(2층)","김우용","2009-01-09"
"[서] 성북","성북구 종암로25길 29(종암동 80-8)","구)종암동주민센터(4층) 허브센터","김우용","2009-01-08"
"[서] 도봉","도봉구 해등로 25(창동 362-1)","도봉소방서(창동 119안전센터)(2층)","김우용","2009-01-07"
"[서] 마포","마포구 성중길 82(성산동 445)","성산빗물펌프장(2층)","김우용","2009-01-09"
"[서] 구로","구로구 구로동로 141(구로동 704-57)","구로2동 주민센터(5층)","김우용","2009-01-12"
"[서] 영등포","영등포구 양평로 171(양평동5가 양평교옆)","양평제2빗물펌프장(2층)","김우용","2009-01-07"
"[서] 서초","서초구 청두곶길 36(방배동 462-13)","방배2동주민센터(4층)","김우용","2009-01-09"
"[서] 강남","강남구 학동로 426(삼성동 16-1)","강남구청 제1별관(4층)","김우용","2009-01-06"
