"구간번호","자치구 ID","자치구 이름","도로명","시점","종점","청소시각","청소종류","담당부서","부서 연락처"
"LINKID","GU_ID","GU_NM","ROAD_NAME","F_NODENAME","T_NODENAME","COLLECT_DA","DISP_TYPE","BUSEO","BU_TEL"
"10000073","17","08 성북구","능산길","신내IC","신내동주유소","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000077","17","08 성북구","북부간선도로","신내동유출램프(북부간선도로본","신내IC","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000077","17","08 성북구","북부간선도로","신내동유출램프(북부간선도로본","신내IC","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000078","17","08 성북구","북부간선도로","신내동유출램프(북부간선도로본","신내IC","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000078","17","08 성북구","북부간선도로","신내동유출램프(북부간선도로본","신내IC","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000079","17","08 성북구","북부간선도로","신내동유출램프(북부간선도로본","신내IC","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000079","17","08 성북구","북부간선도로","신내동유출램프(북부간선도로본","신내IC","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000088","17","08 성북구","북부간선도로","월릉교서측","화랑대사거리연결램프(북부간선","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000088","17","08 성북구","북부간선도로","월릉교서측","화랑대사거리연결램프(북부간선","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000089","17","08 성북구","북부간선도로","월릉교서측","화랑대사거리연결램프(북부간선","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000089","17","08 성북구","북부간선도로","월릉교서측","화랑대사거리연결램프(북부간선","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000090","17","08 성북구","북부간선도로","월릉교서측","화랑대사거리연결램프(북부간선","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000091","17","08 성북구","북부간선도로","월릉교서측","화랑대사거리연결램프(북부간선","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000092","17","08 성북구","북부간선도로","월릉교서측","화랑대사거리연결램프(북부간선","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000163","09","11 노원구","동1로","마들역","상계7~9단지","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000163","09","11 노원구","동1로","마들역","상계7~9단지","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000164","09","11 노원구","동1로","마들역","상계7~9단지","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000164","09","11 노원구","동1로","마들역","상계7~9단지","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000172","09","11 노원구","동1로","상계11~13단지","마들역","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000172","09","11 노원구","동1로","상계11~13단지","마들역","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000178","09","11 노원구","동1로","상계14-16단지","상계11~13단지","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000178","09","11 노원구","동1로","상계14-16단지","상계11~13단지","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000182","09","11 노원구","동1로","수락산역","상계14-16단지","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000182","09","11 노원구","동1로","수락산역","상계14-16단지","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000183","09","11 노원구","동1로","수락산역","상계14-16단지","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000183","09","11 노원구","동1로","수락산역","상계14-16단지","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000348","09","11 노원구","동1로","수락산역","상계14-16단지","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000348","09","11 노원구","동1로","수락산역","상계14-16단지","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000359","09","11 노원구"," ","수락산역","동부간선도로분기점","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000360","09","11 노원구"," ","수락산역","동부간선도로분기점","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000361","09","11 노원구"," ","동부간선도로분기점","수락산역","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000362","09","11 노원구"," ","동부간선도로분기점","수락산역","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000393","17","08 성북구","북부간선도로","하월곡램프(북부간선도로본선)","종암JC(내부순환-북부간선)","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000396","17","08 성북구","북부간선도로","월릉교서측","하월곡램프(북부간선도로본선)","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000396","17","08 성북구","북부간선도로","월릉교서측","하월곡램프(북부간선도로본선)","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000408","13","14 마포구"," ","월드컵경기장(상암교)","마포농수산시장삼거리","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10000413","13","14 마포구","난지도길","월드컵경기장","월드컵경기장(상암교)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10000450","09","11 노원구"," ","동부간선도로분기점","수락산역","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000453","17","08 성북구","북부간선도로","하월곡램프(북부간선도로본선)","종암JC(내부순환-북부간선)","2016-01-21 00:00:00.0","기타청소","청소행정과","920-3379"
"10000462","13","14 마포구","내부순환로성산진입램프(내선)","상암교입구","성산진입램프(내부순환로본선)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10000463","13","14 마포구","내부순환로성산진입램프(내선)","상암교입구","성산진입램프(내부순환로본선)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10000470","11","06 동대문구","동부간선도로중랑교연결램프","중랑교서단","중랑교입구","2016-01-21 00:00:00.0","기타청소","청소행정과","2127-4378"
"10000471","11","06 동대문구","동부간선도로중랑교연결램프","중랑교서단","중랑교입구","2016-01-21 00:00:00.0","기타청소","청소행정과","2127-4378"
"10000500","09","11 노원구","수락지하차도","동부간선도로분기점","서울노원-경기의정부 경계","2016-01-21 00:00:00.0","기타청소","자원순환과","2116-3803"
"10000500","11","06 동대문구","수락지하차도","동부간선도로분기점","서울노원-경기의정부 경계","2016-01-21 00:00:00.0","기타청소","청소행정과","2127-4378"
"10000551","07","17 구로구","경인로","고척교","구로역","2016-01-21 00:00:00.0","기타청소","청소행정과","860-2896"
"10000552","07","17 구로구","경인로","고척교","구로역","2016-01-21 00:00:00.0","기타청소","청소행정과","860-2896"
"10000557","07","17 구로구","경인로","구로역","고척교","2016-01-21 00:00:00.0","기타청소","청소행정과","860-2896"
"10000559","07","17 구로구","경인로","구로역","고척교","2016-01-21 00:00:00.0","기타청소","청소행정과","860-2896"
"10000577","07","17 구로구","경인로","신도림역","구로역","2016-01-21 00:00:00.0","기타청소","청소행정과","860-2896"
"10000582","13","14 마포구","성산로","성산대교북단","상암교입구","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10000582","13","14 마포구","성산로","성산대교북단","상암교입구","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10000583","13","14 마포구","성산로","성산대교북단","상암교입구","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10000672","13","14 마포구","강변북로","강변북로 서울-고양 경계","가양대교북단","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10000672","13","14 마포구","강변북로","강변북로 서울-고양 경계","가양대교북단","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10000680","04","16 강서구","신공항고속도로 개화터널","88JC","신공항고속도로 서울-김포 경계","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10000680","04","16 강서구","신공항고속도로 개화터널","88JC","신공항고속도로 서울-김포 경계","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10000680","04","16 강서구","신공항고속도로 개화터널","88JC","신공항고속도로 서울-김포 경계","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10000681","04","16 강서구","신공항고속도로 개화터널","신공항고속도로 서울-김포 경계","88JC","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10000681","04","16 강서구","신공항고속도로 개화터널","신공항고속도로 서울-김포 경계","88JC","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10000681","04","16 강서구","신공항고속도로 개화터널","신공항고속도로 서울-김포 경계","88JC","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10000732","19","15 양천구","남부순환로","과학수사연구소입구","강월초교입구","2016-01-21 00:00:00.0","기타청소","청소행정과","2620-3423"
"10000733","19","15 양천구","남부순환로","과학수사연구소입구","강월초교입구","2016-01-21 00:00:00.0","기타청소","청소행정과","2620-3423"
"10000766","07","17 구로구","서부간선도로","오금교(서부간선도로)","신정1교동단","2016-01-21 00:00:00.0","기타청소","청소행정과","860-2896"
"10000871","07","17 구로구","서부간선도로","오금교(서부간선도로)","신정1교동단","2016-01-21 00:00:00.0","기타청소","청소행정과","860-2896"
"10000871","07","17 구로구","서부간선도로","오금교(서부간선도로)","신정1교동단","2016-01-21 00:00:00.0","기타청소","청소행정과","860-2896"
"10000923","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10000923","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10000923","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10000923","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10000926","23","01 종로구","새문안길","당주동입구","구세군회관","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10000927","23","01 종로구","새문안길","당주동입구","세종로사거리","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10000927","23","01 종로구","새문안길","당주동입구","세종로사거리","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10000928","23","01 종로구","새문안길","세종로사거리","당주동입구","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10000928","23","01 종로구","새문안길","세종로사거리","당주동입구","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10000930","23","01 종로구","종로","종로1가","종로구청입구","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10000934","23","01 종로구","종로","종로1가","종로2가","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10000937","23","01 종로구","종로","종로구청입구","세종로사거리","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10000937","23","01 종로구","종로","종로구청입구","세종로사거리","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10000970","04","16 강서구","양천길","개화사거리","방화사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10000970","04","16 강서구","양천길","개화사거리","방화사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10000977","23","01 종로구","왕산로","신설동역","동묘앞역","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10000978","23","01 종로구","왕산로","신설동역","동묘앞역","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10000978","23","01 종로구","왕산로","신설동역","동묘앞역","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10000979","23","01 종로구","왕산로","신설동역","동묘앞역","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10000979","23","01 종로구","왕산로","신설동역","동묘앞역","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10000988","16","04 성동구","내부순환로","마장램프(내부순환로본선)","사근램프(내부순환로본선)","2016-01-21 00:00:00.0","기타청소","청소행정과","2286-5530"
"10000988","16","04 성동구","내부순환로","마장램프(내부순환로본선)","사근램프(내부순환로본선)","2016-01-21 00:00:00.0","기타청소","",""
"10000991","04","16 강서구","양천길","공진초중교(까르푸)","가양3-5단지","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001003","04","16 강서구","양천길","공진초중교(까르푸)","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001004","04","16 강서구","양천길","공진초중교(까르푸)","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001005","04","16 강서구","양천길","공진초중교(까르푸)","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001006","04","16 강서구","양천길","공진초중교(까르푸)","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001008","04","16 강서구","양천길","가양사거리","공진초중교(까르푸)","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001009","04","16 강서구","양천길","가양사거리","공진초중교(까르푸)","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001010","04","16 강서구","양천길","가양사거리","공진초중교(까르푸)","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001019","23","01 종로구","새문안길","정동사거리","서대문역","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10001020","23","01 종로구","새문안길","정동사거리","서대문역","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10001020","23","01 종로구","새문안길","정동사거리","서대문역","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10001021","13","14 마포구","증산로","평화의공원","월드컵경기장","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001035","23","01 종로구","새문안길","구세군회관","정동사거리","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10001036","23","01 종로구","새문안길","구세군회관","정동사거리","2016-01-21 00:00:00.0","기타청소","청소행정과","2148-2382"
"10001038","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001039","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001039","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001040","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001040","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001041","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001041","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001041","04","16 강서구","양천길","방화2단지","가양사거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001156","15","22 서초구","강남대로","국악고교입구","양재시민의숲","2016-01-21 00:00:00.0","기타청소","",""
"10001171","15","22 서초구","강남대로","양재시민의숲","영동1교남단","2016-01-21 00:00:00.0","기타청소","",""
"10001171","15","22 서초구","강남대로","양재시민의숲","영동1교남단","2016-01-21 00:00:00.0","기타청소","",""
"10001172","15","22 서초구","강남대로","영동1교남단","양재시민의숲","2016-01-21 00:00:00.0","기타청소","",""
"10001173","15","22 서초구","강남대로","영동1교남단","양재시민의숲","2016-01-21 00:00:00.0","기타청소","",""
"10001217","15","22 서초구","바우뫼길","양재초교","교육개발원입구","2016-01-21 00:00:00.0","기타청소","",""
"10001217","15","22 서초구","바우뫼길","양재초교","교육개발원입구","2016-01-21 00:00:00.0","기타청소","",""
"10001218","15","22 서초구","바우뫼길","양재초교","교육개발원입구","2016-01-21 00:00:00.0","기타청소","",""
"10001219","15","22 서초구","바우뫼길","교육개발원입구","양재초교","2016-01-21 00:00:00.0","기타청소","",""
"10001220","15","22 서초구","바우뫼길","교육개발원입구","양재초교","2016-01-21 00:00:00.0","기타청소","",""
"10001220","15","22 서초구","바우뫼길","교육개발원입구","양재초교","2016-01-21 00:00:00.0","기타청소","",""
"10001242","15","22 서초구","강남대로","영동1교남단","영동1교북단","2016-01-21 00:00:00.0","기타청소","",""
"10001242","15","22 서초구","강남대로","영동1교남단","영동1교북단","2016-01-21 00:00:00.0","기타청소","",""
"10001243","15","22 서초구","강남대로","영동1교북단","영동1교남단","2016-01-21 00:00:00.0","기타청소","",""
"10001280","15","22 서초구","강남대로","교육개발원입구","영동1교북단","2016-01-21 00:00:00.0","기타청소","",""
"10001434","15","22 서초구","바우뫼길","양재초교","교육개발원입구","2016-01-21 00:00:00.0","기타청소","",""
"10001434","15","22 서초구","바우뫼길","양재초교","교육개발원입구","2016-01-21 00:00:00.0","기타청소","",""
"10001535","13","14 마포구","강변북로","양화대교북단","망원동펌프장","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001539","13","14 마포구","강변북로","망원동펌프장","양화대교북단","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001540","04","16 강서구","공항로","서울도시가스","등촌삼거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001541","04","16 강서구","공항로","서울도시가스","등촌삼거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001545","19","15 양천구","공항로","등촌삼거리","서울도시가스","2016-01-21 00:00:00.0","기타청소","청소행정과","2620-3423"
"10001546","19","15 양천구","공항로","등촌삼거리","서울도시가스","2016-01-21 00:00:00.0","기타청소","청소행정과","2620-3423"
"10001547","04","16 강서구","공항로","양화교","서울도시가스","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001582","13","14 마포구","강변북로","망원동펌프장","내부순환로입구(강변북로망원동)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001585","13","14 마포구","강변북로","내부순환로입구(강변북로망원동)","망원동펌프장","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001586","13","14 마포구","강변북로","내부순환로입구(강변북로망원동)","망원동펌프장","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001587","04","16 강서구","공항로","등촌삼거리","하이웨이주유소앞","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001588","04","16 강서구","공항로","등촌삼거리","하이웨이주유소앞","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001589","04","16 강서구","공항로","하이웨이주유소앞","등촌삼거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001590","04","16 강서구","공항로","하이웨이주유소앞","등촌삼거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001591","04","16 강서구","공항로","하이웨이주유소앞","등촌삼거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001620","04","16 강서구"," ","외발산사거리","내발산삼거리","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001672","04","16 강서구","공항로","하이웨이주유소앞","강서구청입구","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001673","04","16 강서구","공항로","강서구청입구","하이웨이주유소앞","2016-01-21 00:00:00.0","기타청소","청소자원과","2600-4063"
"10001680","13","14 마포구","강변북로","성산대교북단","내부순환로입구(강변북로망원동)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001682","13","14 마포구","내부순환로성산대교연결램프(망","내부순환로입구(강변북로망원동)","성산분기점(내부순환로본선)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001682","13","14 마포구","내부순환로성산대교연결램프(망","내부순환로입구(강변북로망원동)","성산분기점(내부순환로본선)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
"10001684","13","14 마포구","내부순환로성산대교연결램프(망","내부순환로입구(강변북로망원동)","성산분기점(내부순환로본선)","2016-01-21 00:00:00.0","기타청소","청소행정과","3153-9212"
