"측정날짜","측정소 행정코드","측정소명","통합대기환경지수 등급","통합대기환경지수","지수결정물질","이산화질소 농도(단위:ppm)","오존 농도(단위:ppm)","일산화탄소 농도(단위:ppm)","아황산가스 농도(단위:ppm)","미세먼지 농도(단위:㎍/㎥)","초미세먼지 농도(단위:㎍/㎥)"
"MSRDATE","MSRADMCODE","MSRSTENAME","GRADE","MAXINDEX","POLLUTANT","NITROGEN","OZONE","CARBON","SULFUROUS","PM10","PM25"
"201601281100","111123","종로구","보통","85","NO2","0.051","0.006","0.7","0.006","54","32"
"201601281100","111121","중구","보통","94","NO2","0.056","0.006","1.2","0.008","45","26"
"201601281100","111131","용산구","보통","77","NO2","0.046","0.01","0.5","0.006","44","29"
"201601281100","111142","성동구","보통","84","NO2","0.05","0.006","0.8","0.005","66","30"
"201601281100","111141","광진구","보통","85","NO2","0.051","0.006","0.8","0.007","59","39"
"201601281100","111152","동대문구","나쁨","105","NO2","0.064","0.006","1.3","0.009","53","27"
"201601281100","111151","중랑구","보통","92","NO2","0.055","0.007","0.7","0.007","54","21"
"201601281100","111161","성북구","보통","100","NO2","0.06","0.006","1.2","0.009","64","43"
"201601281100","111291","강북구","나쁨","104","NO2","0.063","0.005","1.2","0.006","77","46"
"201601281100","111171","도봉구","나쁨","103","NO2","0.062","0.008","1.1","0.009","63","33"
"201601281100","111311","노원구","보통","92","NO2","0.055","0.005","1.1","0.008","60","41"
"201601281100","111181","은평구","보통","82","NO2","0.049","0.007","1.8","0.008","43","25"
"201601281100","111191","서대문구","나쁨","108","NO2","0.067","0.012","0.6","0.006","52","23"
"201601281100","111201","마포구","보통","73","NO2","0.044","0.007","0.8","0.006","54","36"
"201601281100","111301","양천구","나쁨","105","NO2","0.064","0.005","1.2","0.005","100","62"
"201601281100","111212","강서구","나쁨","101","NO2","0.061","0.003","0.9","0.006","70","32"
"201601281100","111221","구로구","보통","82","PM10","0.046","0.004","1","0.007","86","28"
"201601281100","111281","금천구","보통","97","NO2","0.058","0.006","0.9","0.005","58","39"
"201601281100","111231","영등포구","보통","72","PM10","0.042","0.004","0.9","0.006","36","22"
"201601281100","111241","동작구","보통","95","NO2","0.057","0.007","0.9","0.005","70","45"
"201601281100","111251","관악구","보통","100","NO2","0.06","0.004","1.1","0.005","62","37"
"201601281100","111262","서초구","보통","82","NO2","0.049","0.004","0.9","0.007","61","30"
"201601281100","111261","강남구","보통","85","NO2","0.051","0.006","0.8","0.006","51","25"
"201601281100","111273","송파구","보통","84","NO2","0.05","0.006","1","0.008","70","35"
"201601281100","111274","강동구","보통","84","PM10","0.05","0.004","0.8","0.006","70","34"
