"고유번호","관측소코드","관측소명","주소","평균강수량","X 좌표","Y 좌표"
"OBJECTID","AWS_CDE","NAM","ADDRESS","MEAN_PRE","X","Y"
"1","509","관악","서울특별시 관악구 신림동 산56-1 (서울대학교)","1404.416667","195595.313","439273.753"
"2","417","금천","서울특별시 금천구 독산동 1034 (독산초등학교)","1337.833333","192402.085","440102.985"
"3","401","서초","서울특별시 서초구 서초동 1650 (서울교육대학교)","1394.083333","201584.355","442596.883"
"4","423","구로","서울특별시 구로구 궁동 213-42 (수궁동사무소)","1388","185073.607","442976.2"
"5","410","기상청","서울특별시 동작구 신대방동 460-18 (기상청)","1319.5","192989.465","444098.001"
"6","403","송파","서울특별시 송파구 잠실동 40-1 (롯데월드)","1352.166667","208691.884","445730.587"
"7","400","강남","서울특별시 강남구 삼성동 42 (삼릉초등학교)","1381.583333","204103.359","445860.012"
"8","415","용산","서울특별시 용산구 이촌동 301-75 (신용산초등학교)","1325.708333","197826.735","446680.368"
"9","418","한강","서울특별시 영등포구 여의도동 85-1 (세모유람선)","1189.666667","194459.567","447181.371"
"10","405","양천","서울특별시 양천구 목동 915 (목동주차장)","1316.958333","189147.812","447486.565"
"11","510","영등포","서울특별시 영등포구 당산동 121-22 (영동초등학교)","1330.083333","191684.361","447727.923"
"12","413","광진","서울특별시 광진구 화양동 93-1 (건국대학교)","1347.7","206805.801","449024.511"
"13","411","마포","서울특별시 마포구 망원동 211-42 (마포제2빗물펌프장","1431.75","194001.636","449600.744"
"14","421","성동","서울특별시 성동구 성수동1가 684-14 (성수중학교)","1240.277778","203403.212","449810.323"
"15","404","강서","서울특별시 강서구 화곡동 산60-1 (정보기능대학)","1351.708333","186562.686","450375.394"
"16","402","강동","서울특별시 강동구 고덕동 317-1 (종합직업학교)","1465.708333","212927.436","450585.865"
"17","419","중구","서울특별시 중구 회현동1가 산1-19 (한국삭도(주))","1287.5","198614.435","450752.703"
"18","412","서대문","서울특별시 서대문구 신촌동 134 (연세대학교)","1358.958333","195098.983","452319.052"
"19","408","동대문","서울특별시 동대문구 전농동 90 (서울시립대)","1480.208333","204240.829","453384.058"
"20","409","중랑","서울특별시 중랑구 면목동 551 (면동초등학교)","1427.333333","207666.945","454085.874"
"21","416","은평","서울특별시 은평구 불광동 280-17 (국립환경연구원)","1296.541667","194139.26","456847.603"
"22","414","성북","서울특별시 성북구 정릉동 861-1 (국민대학교)","1489.083333","199754.524","457078.64"
"23","420","북한산","서울특별시 종로구 구기동 산1 (승가사)","1310.541667","195975.826","457634.403"
"24","407","노원","서울특별시 노원구 공릉동 230-3 (육군사관학교)","1442.916667","207707.332","458069.979"
"25","424","강북","서울특별시 강북구 수유동 192-49 (강북구청 본관)","1547.0625","199965.82","459608.887"
"26","406","도봉","서울특별시 도봉구 방학동 310 (신방학초등학교)","1591.5","202921.232","462938.81"
"27","108","서울","서울특별시 종로구 송월동 1번지 (서울기상대)","1560.583333","196776.981","452738.5"
