"측정일시","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"MSRDT_DE","MSRSTE_NM","NO2","O3","CO","SO2","PM10","PM25"
"20160128","강남구","0.055","0.003","1","0.006","59","30"
"20160128","강동구","0.054","0.002","1","0.005","70","36"
"20160128","강변북로","0.08","0.003","1.1","0.006","61","31"
"20160128","강북구","0.056","0.003","1.1","0.005","48","28"
"20160128","강서구","0.062","0.001","1.1","0.006","57","32"
"20160128","공항로","0.049","0.002","1.7","0.006","63","35"
"20160128","관악구","0.07","0.003","1.5","0.005","53","32"
"20160128","광진구","0.054","0.003","1","0.006","59","40"
"20160128","구로구","0.054","0.002","1.4","0.007","64","32"
"20160128","금천구","0.07","0.002","1.2","0.005","52","33"
"20160128","길동","0.059","0.002","1.1","0.007","52","30"
"20160128","내부순환","0.048","0.006","0.9","0.007","44","24"
"20160128","노원구","0.058","0.002","1.1","0.007","48","31"
"20160128","도봉구","0.064","0.003","1","0.006","50","26"
"20160128","동대문구","0.072","0.003","1.5","0.007","56","26"
"20160128","동작구","0.078","0.003","1.4","0.005","56","38"
"20160128","동작대로","0.077","0.01","1.4","0.008","66","45"
"20160128","마포구","0.055","0.003","1.1","0.006","42","28"
"20160128","서대문구","0.079","0.006","0.9","0.005","41","18"
"20160128","서울역","0.07","0.003","1.2","0.006","54","27"
"20160128","서초구","0.052","0.002","1.1","0.006","54","30"
"20160128","성동구","0.061","0.002","1.1","0.005","62","33"
"20160128","성북구","0.062","0.003","1.4","0.007","46","27"
"20160128","송파구","0.052","0.003","1.3","0.007","61","40"
"20160128","신사동","0.077","0.003","1.6","0.005","60","31"
"20160128","신촌","0.066","0.003","1.5","0.007","66","26"
"20160128","양재대로","0.069","0.003","1.7","0.011","56","34"
"20160128","양천구","0.075","0.002","1.4","0.004","72","45"
"20160128","영등포","0.082","0.002","1.2","0.008","75","34"
"20160128","영등포구","0.048","0.003","1.3","0.006","57","28"
"20160128","용산구","0.061","0.003","0.9","0.005","42","31"
"20160128","은평구","0.042","0.01","0.8","0.006","35","17"
"20160128","종로","0.069","0.003","1","0.004","47","19"
"20160128","종로구","0.061","0.002","0.8","0.005","49","31"
"20160128","중구","0.062","0.003","1.3","0.007","43","23"
"20160128","중랑구","0.06","0.003","0.9","0.006","51","25"
"20160128","청계천","0.067","0.002","1.2","0.011","42","13"
"20160128","청량리","0.069","0.002","1","0.008","51","37"
"20160128","태릉","0.065","0.002","1.3","0.006","63","26"
"20160127","강남구","0.045","0.014","0.7","0.007","67","28"
"20160127","강동구","0.057","0.006","0.9","0.007","77","34"
"20160127","강변북로","0.084","0.005","0.9","0.009","73","30"
"20160127","강북구","0.041","0.015","0.8","0.006","58","31"
"20160127","강서구","0.043","0.012","0.7","0.007","68","30"
"20160127","공항로","0.043","0.007","1.4","0.007","75","32"
"20160127","관악구","0.053","0.012","1","0.007","65","38"
"20160127","광진구","0.051","0.01","0.9","0.007","68","42"
"20160127","구로구","0.038","0.012","0.9","0.009","74","34"
"20160127","금천구","0.048","0.013","0.9","0.007","63","36"
"20160127","길동","0.061","0.007","0.9","0.008","63","33"
"20160127","내부순환","0.037","0.016","0.7","0.008","67","29"
"20160127","노원구","0.044","0.013","0.8","0.009","54","32"
"20160127","도봉구","0.037","0.027","0.6","0.006","59","25"
"20160127","동대문구","0.05","0.012","1","0.009","65","27"
"20160127","동작구","0.056","0.01","0.9","0.006","62","32"
"20160127","동작대로","0.071","0.016","1.1","0.009","85","51"
"20160127","마포구","0.04","0.011","0.8","0.007","49","32"
"20160127","서대문구","0.062","0.013","0.8","0.007","62","27"
"20160127","서울역","0.054","0.008","0.8","0.007","77","32"
"20160127","서초구","0.039","0.011","0.6","0.008","63","28"
"20160127","성동구","0.053","0.008","0.8","0.005","68","29"
"20160127","성북구","0.05","0.012","0.9","0.009","60","26"
"20160127","송파구","0.046","0.014","0.8","0.007","66","33"
"20160127","신사동","0.058","0.009","1","0.007","68","31"
"20160127","신촌","0.059","0.006","1","0.009","87","31"
"20160127","양재대로","0.066","0.007","1.1","0.012","76","35"
"20160127","양천구","0.048","0.013","0.8","0.006","66","37"
"20160127","영등포","0.068","0.006","0.7","0.01","84","33"
"20160127","영등포구","0.035","0.009","0.8","0.008","71","27"
"20160127","용산구","0.047","0.01","0.6","0.006","50","33"
"20160127","은평구","0.041","0.015","0.7","0.008","59","30"
"20160127","종로","0.046","0.013","0.7","0.006","58","24"
"20160127","종로구","0.042","0.011","0.6","0.006","54","37"
"20160127","중구","0.046","0.012","0.9","0.009","59","27"
"20160127","중랑구","0.053","0.011","0.8","0.008","64","29"
"20160127","청계천","0.057","0.009","0.9","0.012","56","17"
"20160127","청량리","0.06","0.007","0.9","0.012","60","39"
"20160127","태릉","0.063","0.007","1","0.008","73","31"
"20160126","강남구","0.053","0.005","0.8","0.007","83","35"
"20160126","강동구","0.058","0.003","0.9","0.006","88","36"
"20160126","강변북로","0.083","0.004","1","0.009","86","37"
"20160126","강북구","0.049","0.007","0.9","0.007","72","38"
"20160126","강서구","0.051","0.006","0.8","0.008","84","33"
"20160126","공항로","0.044","0.003","1.3","0.008","76","34"
"20160126","관악구","0.059","0.004","1","0.008","72","39"
"20160126","광진구","0.055","0.005","0.9","0.007","82","48"
"20160126","구로구","0.044","0.005","1","0.01","84","37"
"20160126","금천구","0.052","0.007","0.8","0.007","71","39"
"20160126","길동","0.063","0.003","0.9","0.008","66","35"
"20160126","내부순환","0.05","0.008","0.9","0.01","95","42"
"20160126","노원구","0.052","0.006","0.9","0.009","67","33"
"20160126","도봉구","0.055","0.006","0.8","0.007","79","33"
"20160126","동대문구","0.059","0.005","1.2","0.009","84","35"
"20160126","동작구","0.061","0.006","0.8","0.007","66","33"
"20160126","동작대로","0.071","0.012","1.1","0.01","95","52"
"20160126","마포구","0.049","0.004","0.9","0.008","61","39"
"20160126","서대문구","0.081","0.005","0.9","0.008","84","36"
"20160126","서울역","0.066","0.004","1","0.008","97","41"
"20160126","서초구","0.046","0.005","0.7","0.008","78","32"
"20160126","성동구","0.06","0.004","0.9","0.004","88","34"
"20160126","성북구","0.059","0.005","1.1","0.01","80","34"
"20160126","송파구","0.052","0.005","0.9","0.008","74","34"
"20160126","신사동","0.071","0.004","1.4","0.007","86","39"
"20160126","신촌","0.06","0.004","1.1","0.008","110","38"
"20160126","양재대로","0.067","0.004","1.1","0.011","89","37"
"20160126","양천구","0.056","0.006","1","0.007","90","49"
"20160126","영등포","0.068","0.003","0.9","0.01","101","46"
"20160126","영등포구","0.041","0.005","1","0.007","92","34"
"20160126","용산구","0.057","0.004","0.7","0.006","65","42"
"20160126","은평구","0.047","0.01","0.7","0.009","77","35"
"20160126","종로","0.069","0.005","0.9","0.007","74","32"
"20160126","종로구","0.053","0.004","0.7","0.007","77","50"
"20160126","중구","0.061","0.004","1.2","0.009","78","34"
"20160126","중랑구","0.062","0.004","1","0.008","80","37"
"20160126","청계천","0.065","0.003","1.1","0.012","71","20"
"20160126","청량리","0.064","0.003","0.8","0.01","69","47"
"20160126","태릉","0.066","0.003","1","0.008","85","35"
"20160125","강남구","0.033","0.018","0.5","0.006","56","16"
"20160125","강동구","0.039","0.008","0.7","0.005","56","18"
"20160125","강변북로","0.057","0.009","0.5","0.007","63","17"
"20160125","강북구","0.029","0.016","0.6","0.004","40","17"
"20160125","강서구","0.031","0.013","0.4","0.006","61","17"
"20160125","공항로","0.032","0.007","0.8","0.005","68","18"
"20160125","관악구","0.037","0.012","0.6","0.005","47","17"
"20160125","광진구","0.034","0.014","0.6","0.005","49","23"
"20160125","구로구","0.026","0.014","0.6","0.007","48","20"
"20160125","금천구","0.033","0.014","0.6","0.005","48","18"
"20160125","길동","0.044","0.009","0.6","0.006","39","18"
"20160125","내부순환","0.028","0.016","0.6","0.007","57","21"
"20160125","노원구","0.032","0.015","0.7","0.006","41","15"
"20160125","도봉구","0.03","0.023","0.5","0.005","50","16"
"20160125","동대문구","0.03","0.015","0.7","0.006","54","16"
"20160125","동작구","0.038","0.014","0.5","0.005","39","15"
"20160125","동작대로","0.056","0.012","0.6","0.008","69","27"
"20160125","마포구","0.026","0.015","0.5","0.006","34","16"
"20160125","서대문구","0.042","0.016","0.7","0.005","56","16"
"20160125","서울역","0.039","0.012","0.5","0.005","64","19"
"20160125","서초구","0.031","0.011","0.4","0.006","54","17"
"20160125","성동구","0.034","0.013","0.5","0.005","57","16"
"20160125","성북구","0.036","0.014","0.7","0.007","52","15"
"20160125","송파구","0.031","0.016","0.5","0.006","50","17"
"20160125","신사동","0.042","0.013","0.7","0.005","59","17"
"20160125","신촌","0.044","0.01","0.7","0.006","77","20"
"20160125","양재대로","0.05","0.008","0.8","0.008","66","20"
