"고유번호","기준연도","행정동코드","행정동명","2007년사용량","2008년사용량","X 좌표","Y 좌표"
"OBJECTID","BASE_YEAR","ADM_DR_CD","ADM_DR_NM","SUM_07","SUM_08","X","Y"
"55","2008","1104066","성수1가2동","7.726222","8.65027","203702.617","449912.407"
"12","2008","1101068","창신2동","4.283316","4.548497","200920.962","452936.545"
"18","2008","1102054","회현동","14.44101","15.065532","197965.536","450859.005"
"46","2008","1105066","자양3동","12.367342","14.242936","206296.331","448042.291"
"50","2008","1104056","행당1동","8.023929","8.582296","203101.577","451136.531"
"57","2008","1104068","성수2가3동","15.705425","15.271613","205174.84","449557.35"
"58","2008","1104069","송정동","5.438986","4.931568","205562.916","450474.779"
"64","2008","1105055","중곡1동","6.333166","6.564086","206869.179","451378.271"
"66","2008","1105057","중곡3동","8.408295","8.61405","207191.668","452012.858"
"74","2008","1105067","자양4동","2.096478","1.880025","205621.339","448266.35"
"172","2008","1111061","중계1동","7.005459","6.665477","205970.364","460556.833"
"7","2008","1101061","종로1.2.3.4가동","24.107868","26.96501","199052.485","453135.715"
"8","2008","1101063","종로5.6가동","6.766764","6.460838","200364.167","452627.462"
"32","2008","1103053","남영동","5.083092","5.550681","197709.584","449443.419"
"33","2008","1103057","원효로2동","7.967495","7.848416","195812.758","448122.786"
"17","2008","1102052","소공동","22.867648","25.273296","197763.058","451662.285"
"24","2008","1102062","신당2동","7.449177","7.517467","200776.666","450594.952"
"14","2008","1101070","숭인1동","2.967728","3.208023","201494.367","453114.366"
"70","2008","1105062","구의3동","15.495466","16.323043","208497.268","448474.65"
"43","2008","1104065","성수1가1동","6.599891","6.358717","203549.769","448964.249"
"41","2008","1103063","이촌1동","2.005376","2.397031","197366.442","446451.673"
"95","2008","1109074","우이동","3.496089","3.51827","199911.48","462476.583"
"98","2008","1110064","도봉1동","25.192355","23.807269","202383.787","465070.19"
"99","2008","1111056","공릉2동","20.386799","20.266877","208108.129","459093.502"
"104","2008","1112071","진관동","1.237687","0.810669","194592.477","460258.118"
"60","2008","1104071","왕십리도선동","10.070112","9.412562","202645.626","451886.773"
"19","2008","1102055","명동","26.390219","28.041599","198516.339","451350.842"
"27","2008","1102065","신당5동","3.968509","4.035609","201890.623","451514.806"
"6","2008","1101060","가회동","4.820564","4.875127","198791.572","453826.625"
"52","2008","1104058","응봉동","5.761872","6.162945","203056.58","450117.053"
"71","2008","1105063","광장동","25.891209","26.808803","209150.645","449781.821"
"78","2008","1106056","전농1동","4.873634","4.587051","204414.826","452922.966"
"1","2008","1101053","사직동","14.500092","16.490023","197293.033","452699.473"
"2","2008","1101054","삼청동","4.789109","14.29201","198369.776","454054.578"
"3","2008","1101055","부암동","6.25615","6.02026","196849.134","455100.694"
"4","2008","1101056","평창동","10.48842","10.437216","197224.792","457121.3"
"5","2008","1101058","교남동","5.611822","5.865026","196848.626","452416.049"
"80","2008","1106060","답십리1동","3.849421","3.964776","204828.138","452466.809"
"42","2008","1104054","마장동","9.812036","10.216814","203559.413","451994.594"
"9","2008","1101064","이화동","14.440373","17.603897","200233.776","453397.594"
"10","2008","1101065","혜화동","8.556115","8.683239","200079.063","454140.821"
"11","2008","1101066","명륜3가동","4.017231","4.425716","199400.88","454190.783"
"13","2008","1101069","창신3동","2.39388","2.455751","201147.803","453250.932"
"15","2008","1101071","숭인2동","4.25951","4.58521","201725.045","452820.264"
"39","2008","1102060","을지로동","4.505269","4.813766","199738.823","451857.952"
"20","2008","1102057","필동","7.348234","7.488084","199498.8","450796.721"
"21","2008","1102058","장충동","7.938676","9.007024","200099.385","450665.149"
"22","2008","1102059","광희동","12.777933","13.212645","200258.612","451784.911"
"25","2008","1102063","신당3동","7.016804","7.807624","200935.886","450017.49"
"26","2008","1102064","신당4동","5.364909","6.312978","201349.851","450789.422"
"29","2008","1102068","중림동","7.059293","7.405894","197036.485","450804.484"
"30","2008","1103051","후암동","8.03549","8.34009","198282.784","450085.131"
"81","2008","1106063","답십리4동","5.478185","5.441034","205501.535","452254.482"
"82","2008","1103065","이태원1동","9.603152","10.167973","199374.626","448224.979"
"83","2008","1103066","이태원2동","6.819631","7.264627","199322.876","449128.968"
"31","2008","1103052","용산2가동","7.61027","8.024983","198528.949","449006.274"
"23","2008","1102061","신당1동","8.844534","8.884614","201213.632","451748.381"
"28","2008","1102067","황학동","3.463803","4.239846","201818.502","452113.552"
"36","2008","1103064","이촌2동","1.623008","1.594523","195939.541","447108.479"
"40","2008","1102066","신당6동","4.617477","4.816151","201642.44","451253.769"
"45","2008","1105060","구의1동","8.71905","9.105585","207597.569","449054.352"
"63","2008","1105054","군자동","9.744398","10.026433","206495.914","450430.124"
"77","2008","1106055","제기2동","14.916032","15.411929","203007.529","453830.574"
"84","2008","1103069","서빙고동","4.293939","4.431489","199245.211","446844.905"
"92","2008","1108068","길음2동","5.940407","6.017298","202403.739","456483.261"
"16","2008","1101072","청운효자동","8.805238","9.362327","197265.998","453911.479"
"34","2008","1103058","효창동","4.431236","4.342384","196527.932","449353.663"
"35","2008","1103059","용문동","4.521447","4.460059","196326.996","448735.953"
"37","2008","1101057","무악동","2.312914","3.078202","196314.58","453087.528"
"38","2008","1101067","창신1동","3.93292","3.94086","201255.885","452639.421"
"68","2008","1105059","능동","4.72994","4.932396","207245.626","450183.437"
"69","2008","1105061","구의2동","10.177194","10.318083","208365.589","450264.722"
"72","2008","1105064","자양1동","10.122716","10.029272","207092.778","448584.67"
"73","2008","1105065","자양2동","12.0131","12.635588","207286.652","447920.713"
"75","2008","1106051","신설동","4.937888","5.313301","202590.419","452774.245"
"85","2008","1103070","보광동","7.711679","8.005312","200125.151","447312.991"
"86","2008","1103071","청파동","12.426371","12.263737","197048.524","449875.04"
"87","2008","1103072","원효로1동","4.682996","5.152876","196945.714","448682.847"
"89","2008","1103074","한남동","20.508105","20.926743","200686.888","448664.695"
"44","2008","1105053","화양동","16.403731","17.179769","206466.719","449336.664"
"47","2008","1106061","답십리2동","5.180656","5.273614","205283.699","452469.857"
"48","2008","1106074","이문1동","4.766134","4.935106","205772.577","455328.232"
"49","2008","1104055","사근동","11.684069","12.154415","204007.697","451051.69"
"76","2008","1106054","제기1동","4.006395","4.342945","203551.973","453910.325"
"79","2008","1106058","전농3동","8.41548","8.474466","205402.277","453471.898"
"115","2008","1107061","중화1동","7.093999","7.30114","207346.665","457030.618"
"51","2008","1104057","행당2동","9.082695","8.550295","202594.296","450795.544"
"53","2008","1104059","금호1가동","7.475264","7.081417","202164.88","450388.678"
"54","2008","1104062","금호4가동","5.753341","6.400774","202013.71","449339.827"
"56","2008","1104067","성수2가1동","8.083413","8.523298","204945.831","448533.352"
"59","2008","1104070","용답동","8.243582","8.789127","205120.555","451313.517"
"61","2008","1104072","금호2.3가동","9.725159","9.668375","201736.7","450354.43"
"62","2008","1104073","옥수동","12.956842","13.167077","201505.544","449225.106"
"65","2008","1105056","중곡2동","8.324959","8.593295","207430.635","451029.495"
"67","2008","1105058","중곡4동","10.962726","11.464177","208405.463","451497.135"
"88","2008","1103073","한강로동","21.549536","23.12818","197272.343","447833.97"
"179","2008","1111074","상계10동","2.848801","12.732358","206447.99","458214.067"
"219","2008","1113074","북아현동","7.694643","7.517475","194560.329","451826.889"
"122","2008","1107072","면목3.8동","11.225605","11.627937","205708.233","451957.535"
"125","2008","1106067","장안3동","7.630208","7.865276","206348.892","453061.67"
"100","2008","1111059","하계2동","5.392756","5.284226","205702.18","459507.834"
"161","2008","1110059","창1동","8.664822","7.946937","203288.22","460240.747"
"101","2008","1111062","중계2동","2.446277","2.531357","205610.559","460251.172"
"124","2008","1106066","장안2동","7.146216","7.920138","206324.192","451843.681"
"126","2008","1106068","장안4동","5.779125","6.04481","204592.91","454988.79"
"123","2008","1106065","장안1동","8.801671","9.00819","206513.36","452734.151"
"133","2008","1107062","중화2동","11.459584","11.860424","209325.088","455897.11"
"145","2008","1109060","번1동","9.436905","9.328409","203042.951","458676.483"
"150","2008","1108071","월곡1동","9.138162","9.139395","203943.82","455959.189"
"168","2008","1111053","월계3동","5.925341","5.89841","205047.708","459107.823"
"182","2008","1111077","상계6.7동","96.543881","93.720453","194306.655","456073.987"
"193","2008","1114063","신수동","8.932951","8.994583","195297.15","448546.697"
"196","2008","1115060","신월4동","6.41349801","5.44934812","187374.591","447339.867"
"116","2008","1107064","묵1동","9.57266","10.449877","206629.474","456812.266"
"118","2008","1107068","망우3동","6.764368","7.00225","209132.178","456734.683"
"143","2008","1108083","동선동","8.15488","8.467429","205401.446","456510.77"
"147","2008","1109062","번3동","5.492721","6.623194","200775.049","458882.739"
"154","2008","1108078","장위3동","6.583537","6.512147","199770.42","455087.15"
"163","2008","1110062","창4동","6.561381","6.51528","203735.608","461888.586"
"174","2008","1111064","중계4동","7.017869","7.173282","205929.247","464874.245"
"186","2008","1109065","수유3동","13.074761","13.044155","201180.352","458309.7"
"199","2008","1116065","가양2동","1.470269","1.227379","181863.605","450811.236"
"246","2008","1115064","신정1동","4.2301177","4.28570167","185985.72","445764.92"
"298","2008","1122067","양재2동","21.305352","21.23501","204112.925","439411.965"
"90","2008","1104052","왕십리2동","6.258726","6.418607","202471.852","451322.644"
"201","2008","1116069","공항동","14.179067","13.978077","187430.437","443664.166"
"91","2008","1108058","돈암1동","6.065335","6.095444","202156.705","455527.341"
"93","2008","1108084","종암동","14.042676","14.626263","202906.997","455342.351"
"94","2008","1109073","삼각산동","8.204069","7.801129","201359.836","457411.095"
"96","2008","1110053","쌍문3동","7.40906","7.372838","202714.158","460833.454"
"97","2008","1110061","창3동","5.754514","5.860524","203655.337","459791.527"
"103","2008","1112056","갈현2동","10.931592","10.65957","192287.764","457643.208"
"105","2008","1106078","전농2동","7.814406","8.304528","204429.753","453469.978"
"106","2008","1113065","홍제2동","6.016761","5.886744","204457.593","452323.377"
"107","2008","1106079","답십리3동","6.810511","6.990505","204059.409","454321.454"
"117","2008","1107065","묵2동","7.047562","7.190789","209080.191","454672.674"
"119","2008","1107069","신내1동","10.403058","10.860761","208006.966","456607.803"
"120","2008","1107070","신내2동","3.49357","3.608622","207877.52","454377.59"
"121","2008","1107071","면목본동","13.001393","13.503949","208548.521","453913.757"
"173","2008","1111063","중계3동","5.93164","3.252548","207426.716","462108.323"
"141","2008","1108065","정능4동","9.038936","9.400604","201022.978","454095.323"
"144","2008","1108085","석관동","15.874675","15.895232","202723.353","459864.416"
"146","2008","1109061","번2동","11.962431","12.488711","203828.347","458208.728"
"148","2008","1109063","수유1동","12.015808","12.079453","201784.075","456498.812"
"149","2008","1108066","길음1동","12.03556","11.538624","203273.7","456447.479"
"102","2008","1111072","상계8동","1.16327","1.170693","204745.041","462951.716"
"111","2008","1107055","면목5동","5.9554","6.302378","208052.655","452957.424"
"142","2008","1108082","삼선동","9.68193","10.947548","201625.068","454899.215"
"185","2008","1109064","수유2동","9.595534","9.571139","202108.228","460160.741"
"156","2008","1110052","쌍문2동","8.779861","8.670798","202650.172","461752.57"
"162","2008","1110060","창2동","12.279985","11.958713","204440.751","461310.016"
"113","2008","1107059","상봉1동","7.06282","6.912586","207223.526","455000.326"
"114","2008","1107060","상봉2동","8.541036","8.940433","207322.566","455898.294"
"135","2008","1108059","돈암2동","9.566701","8.88767","202437.585","454146.64"
"136","2008","1108060","안암동","8.224368","8.587646","201729.65","453726.063"
"137","2008","1108061","보문동","6.289124","6.615371","201543.902","456276.896"
"129","2008","1106073","휘경2동","9.387774","9.973974","205079.221","455314.543"
"130","2008","1106075","이문2동","7.70267","8.419489","205895.297","455870.557"
"131","2008","1106076","이문3동","6.845754","7.928402","203087.818","453098.412"
"138","2008","1108062","정능1동","7.000014","7.076347","200659.801","456062.579"
"139","2008","1108063","정능2동","7.790086","8.282511","199497.887","457244.246"
"140","2008","1108064","정능3동","6.236813","6.686785","199575.006","458068.783"
"151","2008","1108072","월곡2동","10.845229","11.562673","203925.159","457334.175"
"127","2008","1106071","회기동","5.581059","5.721492","205461.004","454651.39"
"128","2008","1106072","휘경1동","6.617776","6.956426","205827.366","454132.96"
