"고유번호","기준연도","행정동코드","행정동명","2007년사용량","2008년사용량","X 좌표","Y 좌표"
"OBJECTID","BASE_YEAR","ADM_DR_CD","ADM_DR_NM","SUM_07","SUM_08","X","Y"
"77","2008","1106055","제기2동","1921.896","1600.728","203007.529","453830.574"
"12","2008","1101068","창신2동","1341.052","1333.519","200920.962","452936.545"
"35","2008","1103059","용문동","1174.708","966.92","196326.996","448735.953"
"47","2008","1106061","답십리2동","1393.257","1213.254","205283.699","452469.857"
"51","2008","1104057","행당2동","2233.419","1729.067","202594.296","450795.544"
"58","2008","1104069","송정동","1194.555","1177.251","205562.916","450474.779"
"59","2008","1104070","용답동","2315.967","1954.427","205120.555","451313.517"
"64","2008","1105055","중곡1동","1953.443","1917.094","206869.179","451378.271"
"73","2008","1105065","자양2동","3846.152","3819.458","207286.652","447920.713"
"156","2008","1110052","쌍문2동","2739.677","2686.763","203317.437","461871.181"
"125","2008","1106067","장안3동","2105.966","1794.972","206324.192","451843.681"
"7","2008","1101061","종로1.2.3.4가동","6574.332","5588.906","199052.485","453135.715"
"8","2008","1101063","종로5.6가동","1906.46","1500.486","200364.167","452627.462"
"32","2008","1103053","남영동","1446.878","1241.222","197709.584","449443.419"
"33","2008","1103057","원효로2동","1624.859","1363.161","195812.758","448122.786"
"17","2008","1102052","소공동","4206.258","3436.076","197763.058","451662.285"
"24","2008","1102062","신당2동","2264.239","2262.996","200776.666","450594.952"
"14","2008","1101070","숭인1동","667.094","688.798","201494.367","453114.366"
"70","2008","1105062","구의3동","4156.178","3972.142","208497.268","448474.65"
"43","2008","1104065","성수1가1동","2208.133","1818.306","203549.769","448964.249"
"41","2008","1103063","이촌1동","3005.19","2894.435","197366.442","446451.673"
"95","2008","1109074","우이동","2684.945","2684.228","199911.48","462476.583"
"98","2008","1110064","도봉1동","2961.264","2924.577","202383.787","465070.19"
"99","2008","1111056","공릉2동","5377.14","5250.553","208108.129","459093.502"
"60","2008","1104071","왕십리도선동","2934.975","2503.278","202645.626","451886.773"
"96","2008","1110053","쌍문3동","2224.719","1853.683","202714.158","460833.454"
"25","2008","1102063","신당3동","1905.094","1567.716","200935.886","450017.49"
"83","2008","1103066","이태원2동","1560.705","1582.503","199322.876","449128.968"
"52","2008","1104058","응봉동","1869.702","1770.466","203056.58","450117.053"
"71","2008","1105063","광장동","5880.88","5692.283","209150.645","449781.821"
"78","2008","1106056","전농1동","1506.217","1151.734","204414.826","452922.966"
"1","2008","1101053","사직동","2902.623","2808.166","197293.033","452699.473"
"2","2008","1101054","삼청동","854.177","870.571","198369.776","454054.578"
"4","2008","1101056","평창동","2846.928","2817.524","197224.792","457121.3"
"5","2008","1101058","교남동","1403.512","1411.129","196848.626","452416.049"
"39","2008","1102060","을지로동","1534.219","1535.489","199738.823","451857.952"
"19","2008","1102055","명동","6354.487","5235.852","198516.339","451350.842"
"9","2008","1101064","이화동","2928.929","2890.278","200233.776","453397.594"
"10","2008","1101065","혜화동","2139.112","1810.511","200079.063","454140.821"
"11","2008","1101066","명륜3가동","976.525","981.524","199400.88","454190.783"
"13","2008","1101069","창신3동","1094.13","893.202","201147.803","453250.932"
"15","2008","1101071","숭인2동","1473.214","1243.091","201725.045","452820.264"
"16","2008","1101072","청운효자동","2500.706","2254.069","197265.998","453911.479"
"18","2008","1102054","회현동","3681.771","3169.051","197965.536","450859.005"
"20","2008","1102057","필동","1529.302","1320.016","199498.8","450796.721"
"21","2008","1102058","장충동","2264.25","2185.329","200099.385","450665.149"
"22","2008","1102059","광희동","2751.72","2268.433","200258.612","451784.911"
"26","2008","1102064","신당4동","1264.44","1258.093","201349.851","450789.422"
"28","2008","1102067","황학동","1023.476","942.843","201818.502","452113.552"
"29","2008","1102068","중림동","1760.615","1690.701","197036.485","450804.484"
"30","2008","1103051","후암동","2277.246","1868.685","198282.784","450085.131"
"81","2008","1106063","답십리4동","1731.573","1411.231","205501.535","452254.482"
"82","2008","1103065","이태원1동","1830.75","1523.425","199374.626","448224.979"
"31","2008","1103052","용산2가동","1604.803","1628.497","198528.949","449006.274"
"6","2008","1101060","가회동","1140.37","1122.409","198791.572","453826.625"
"23","2008","1102061","신당1동","2232.927","1748.167","201213.632","451748.381"
"27","2008","1102065","신당5동","1136.815","894.922","201890.623","451514.806"
"36","2008","1103064","이촌2동","1106.487","917.179","195939.541","447108.479"
"40","2008","1102066","신당6동","1769.501","1682.237","201642.44","451253.769"
"46","2008","1105066","자양3동","3815.718","3435.42","206296.331","448042.291"
"55","2008","1104066","성수1가2동","2331.622","2303.165","203702.617","449912.407"
"63","2008","1105054","군자동","2789.727","2320.731","206495.914","450430.124"
"84","2008","1103069","서빙고동","1671.254","1368.473","199245.211","446844.905"
"92","2008","1108068","길음2동","2477.447","2371.188","202403.739","456483.261"
"80","2008","1106060","답십리1동","1026.72","1005.282","204828.138","452466.809"
"42","2008","1104054","마장동","3352.018","3316.835","203559.413","451994.594"
"34","2008","1103058","효창동","1291.623","1278.518","196527.932","449353.663"
"37","2008","1101057","무악동","610.093","593.459","196314.58","453087.528"
"38","2008","1101067","창신1동","1346.02","1054.214","201255.885","452639.421"
"89","2008","1103074","한남동","4738.601","4125.072","200686.888","448664.695"
"44","2008","1105053","화양동","4330.72","3508.259","206466.719","449336.664"
"72","2008","1105064","자양1동","2966.008","2451.969","207092.778","448584.67"
"74","2008","1105067","자양4동","601.47","480.65","205621.339","448266.35"
"75","2008","1106051","신설동","1600.522","1351.09","202590.419","452774.245"
"85","2008","1103070","보광동","2096.189","2070.447","200125.151","447312.991"
"86","2008","1103071","청파동","3111.284","2871.759","197048.524","449875.04"
"87","2008","1103072","원효로1동","1308.57","1327.145","196945.714","448682.847"
"88","2008","1103073","한강로동","4242.496","3587.702","197272.343","447833.97"
"162","2008","1110060","창2동","3447.301","3308.661","203288.22","460240.747"
"167","2008","1111052","월계2동","2891.097","2793.546","204350.545","459387.982"
"45","2008","1105060","구의1동","2788.041","2738.28","207597.569","449054.352"
"48","2008","1106074","이문1동","1405.396","1380.868","205772.577","455328.232"
"49","2008","1104055","사근동","2987.182","2508.13","204007.697","451051.69"
"76","2008","1106054","제기1동","1502.871","1441.481","203551.973","453910.325"
"79","2008","1106058","전농3동","2501.163","2349.404","205402.277","453471.898"
"115","2008","1107061","중화1동","2243.306","1882.762","207322.566","455898.294"
"50","2008","1104056","행당1동","2049.632","2079.662","203101.577","451136.531"
"53","2008","1104059","금호1가동","809.758","660.024","202164.88","450388.678"
"54","2008","1104062","금호4가동","680.951","599.777","202013.71","449339.827"
"56","2008","1104067","성수2가1동","2479.528","1973.433","204945.831","448533.352"
"57","2008","1104068","성수2가3동","3189.119","2623.981","205174.84","449557.35"
"61","2008","1104072","금호2.3가동","1273.531","961.814","201736.7","450354.43"
"62","2008","1104073","옥수동","3109.471","2808.336","201505.544","449225.106"
"65","2008","1105056","중곡2동","2572.422","2092.8","207430.635","451029.495"
"66","2008","1105057","중곡3동","2303.95","2237.12","207191.668","452012.858"
"67","2008","1105058","중곡4동","3510.19","2854.031","208405.463","451497.135"
"68","2008","1105059","능동","1966.34","2054.633","207245.626","450183.437"
"69","2008","1105061","구의2동","3297.482","2661.209","208365.589","450264.722"
"177","2008","1111069","상계5동","3318.95","2735.432","206183.253","462635.878"
"219","2008","1113074","북아현동","1972.27","1940.315","196032.828","451088.458"
"100","2008","1111059","하계2동","2351.04","2287.244","205702.18","459507.834"
"117","2008","1107065","묵2동","1961.67","1615.576","206629.474","456812.266"
"168","2008","1111053","월계3동","2483.402","2122.125","205808.316","458176.581"
"196","2008","1115060","신월4동","1991.713","1598.701","185828.414","446937.461"
"104","2008","1112071","진관동","463.809","634.032","194592.477","460258.118"
"101","2008","1111062","중계2동","2304.468","1919.124","205610.559","460251.172"
"201","2008","1116069","공항동","3451.529","3237.15","181863.605","450811.236"
"136","2008","1108060","안암동","3470.41","3493.808","202437.585","454146.64"
