"고유번호","기준연도","행정동코드","행정동명","2007년사용량","2008년사용량","X 좌표","Y 좌표"
"OBJECTID","BASE_YEAR","ADM_DR_CD","ADM_DR_NM","GWH_07","GWH_08","X","Y"
"46","2008","1105066","자양3동","181.929695","195.52611","206296.331","448042.291"
"80","2008","1106060","답십리1동","22.711275","22.774185","204828.138","452466.809"
"12","2008","1101068","창신2동","39.371185","40.275563","200920.962","452936.545"
"45","2008","1105060","구의1동","467.512156","447.570895","207597.569","449054.352"
"52","2008","1104058","응봉동","16.753378","16.982302","203056.58","450117.053"
"58","2008","1104069","송정동","30.943266","32.125956","205562.916","450474.779"
"59","2008","1104070","용답동","62.360444","64.027549","205120.555","451313.517"
"60","2008","1104071","왕십리도선동","90.02822","86.348238","202645.626","451886.773"
"68","2008","1105059","능동","40.659171","41.626176","207245.626","450183.437"
"78","2008","1106056","전농1동","34.333901","33.884137","204414.826","452922.966"
"124","2008","1106067","장안3동","49.217404","49.940936","206513.36","452734.151"
"7","2008","1101061","종로1.2.3.4가동","548.405825","532.941004","199052.485","453135.715"
"32","2008","1103053","남영동","68.387725","70.090861","197709.584","449443.419"
"34","2008","1103058","효창동","20.814328","21.459975","196527.932","449353.663"
"35","2008","1103059","용문동","27.390041","27.499656","196326.996","448735.953"
"15","2008","1101071","숭인2동","72.809621","74.027617","201725.045","452820.264"
"26","2008","1102064","신당4동","47.600798","50.101068","201349.851","450789.422"
"17","2008","1102052","소공동","423.513379","424.742285","197763.058","451662.285"
"70","2008","1105062","구의3동","133.85004","131.664698","208497.268","448474.65"
"42","2008","1104054","마장동","118.720747","120.317887","203559.413","451994.594"
"41","2008","1103063","이촌1동","78.776724","79.079995","197366.442","446451.673"
"95","2008","1109074","우이동","51.867977","52.548616","199911.48","462476.583"
"98","2008","1110064","도봉1동","67.514091","68.453704","202383.787","465070.19"
"99","2008","1111056","공릉2동","158.930946","165.70109","208108.129","459093.502"
"104","2008","1112071","진관동","31.593648","43.847016","194592.477","460258.118"
"57","2008","1104068","성수2가3동","341.422746","345.387186","205174.84","449557.35"
"5","2008","1101058","교남동","67.409378","66.713024","196848.626","452416.049"
