"고유번호","기준연도","행정동코드","행정동명","2007년사용량","2008년사용량","X 좌표","Y 좌표"
"OBJECTID","BASE_YEAR","ADM_DR_CD","ADM_DR_NM","HC_SUM_07","HC_SUM_08","X","Y"
"80","2008","1106060","답십리1동","0","0","204828.138","452466.809"
"13","2008","1101069","창신3동","0","0","201147.803","453250.932"
"38","2008","1101067","창신1동","0","0","201255.885","452639.421"
"49","2008","1104055","사근동","0","0","204007.697","451051.69"
"57","2008","1104068","성수2가3동","0","0","205174.84","449557.35"
"66","2008","1105057","중곡3동","0","0","207191.668","452012.858"
"72","2008","1105064","자양1동","0","0","207092.778","448584.67"
"43","2008","1104066","성수1가2동","0","0","203702.617","449912.407"
"170","2008","1111061","중계1동","47185.3","49420.1","207552.187","460939.842"
"8","2008","1101063","종로5.6가동","0","0","200364.167","452627.462"
"32","2008","1103053","남영동","0","0","197709.584","449443.419"
"41","2008","1103063","이촌1동","106250.8","105779.4","197366.442","446451.673"
"21","2008","1102058","장충동","0","0","200099.385","450665.149"
"33","2008","1103057","원효로2동","8292.9","8694.1","195812.758","448122.786"
"17","2008","1102052","소공동","458.5","432.2","197763.058","451662.285"
"27","2008","1102065","신당5동","0","0","201890.623","451514.806"
"4","2008","1101057","무악동","0","0","196314.58","453087.528"
"42","2008","1104054","마장동","0","0","203559.413","451994.594"
"52","2008","1104058","응봉동","0","0","203056.579","450117.053"
"63","2008","1105054","군자동","0","0","206495.914","450430.124"
"71","2008","1105063","광장동","0","0","209150.645","449781.821"
"40","2008","1102067","황학동","0","0","201818.502","452113.552"
"64","2008","1105055","중곡1동","0","0","206869.179","451378.271"
"96","2008","1109074","우이동","0","0","203288.22","460240.747"
"98","2008","1110064","도봉1동","0","0","205522.867","457685.181"
"100","2008","1111056","공릉2동","52365.1","51992.3","205610.559","460251.172"
"5","2008","1101058","교남동","0","0","196848.626","452416.049"
"25","2008","1102063","신당3동","0","0","200935.886","450017.49"
"23","2008","1102061","신당1동","0","0","201213.632","451748.381"
"44","2008","1105053","화양동","0","0","206466.719","449336.664"
"77","2008","1106055","제기2동","0","0","203007.529","453830.574"
"1","2008","1101053","사직동","0","0","197293.034","452699.473"
"2","2008","1101055","부암동","0","0","196849.134","455100.694"
"6","2008","1101060","가회동","0","0","198791.571","453826.625"
"3","2008","1101056","평창동","0","0","197224.792","457121.3"
"9","2008","1101064","이화동","0","0","200233.776","453397.594"
"22","2008","1102059","광희동","0","0","200258.612","451784.911"
"24","2008","1102062","신당2동","0","0","200776.666","450594.952"
"15","2008","1101071","숭인2동","0","0","201725.045","452820.264"
"16","2008","1101072","청운효자동","0","0","197265.998","453911.479"
"18","2008","1102054","회현동","0","0","197965.536","450859.005"
"19","2008","1102055","명동","844","136.7","198516.338","451350.842"
"20","2008","1102057","필동","0","0","199498.8","450796.721"
"34","2008","1103058","효창동","0","0","196527.932","449353.663"
"37","2008","1101054","삼청동","0","0","198369.776","454054.578"
"39","2008","1102060","을지로동","0","0","199738.823","451857.952"
"28","2008","1102066","신당6동","0","0","201642.44","451253.769"
"29","2008","1102068","중림동","0","0","197036.485","450804.484"
"30","2008","1103051","후암동","0","0","198282.784","450085.131"
"31","2008","1103052","용산2가동","0","0","198528.949","449006.274"
"11","2008","1101066","명륜3가동","0","0","199400.88","454190.783"
"84","2008","1103065","이태원1동","0","0","199322.876","449128.968"
"85","2008","1103066","이태원2동","0","0","199245.211","446844.905"
"87","2008","1103070","보광동","0","0","197048.524","449875.04"
"26","2008","1102064","신당4동","0","0","201349.851","450789.422"
"35","2008","1103059","용문동","0","0","196326.996","448735.953"
"55","2008","1104065","성수1가1동","0","0","203549.769","448964.249"
"70","2008","1105062","구의3동","0","0","208497.268","448474.65"
"78","2008","1106056","전농1동","0","0","204414.826","452922.966"
"86","2008","1103069","서빙고동","19656.7","19988.2","200125.151","447312.991"
"97","2008","1110060","창2동","0","0","202383.787","465070.19"
"81","2008","1106063","답십리4동","0","0","205501.535","452254.482"
"82","2008","1106065","장안1동","0","0","205708.233","451957.535"
"83","2008","1106066","장안2동","0","0","199374.626","448224.979"
"10","2008","1101065","혜화동","0","0","200079.063","454140.821"
