coord,addr,name
"[37.52478953592966,126.80445792752441]",경기도 부천시 오정구 원종동 228-8 1층,이디야 원종사거리점
"[37.528624505135234,126.81574428009266]",경기도 부천시 오정구 고강동 285-6 ,이디야커피 부천고강점
"[37.519552574151454,126.80515235556005]",경기도 부천시 오정구 원종동 372 ,이디야커피 부천성곡사거리점
"[37.52949721552329,126.7854549074416]",경기도 부천시 오정구 오정동 200-1 ,이디야커피 부천오정점
"[37.52000918444112,126.79599341614454]",경기도 부천시 오정구 여월동 52-1 ,이디야커피 부천여월점
"[37.51972339885531,126.80511569461339]",경기도 부천시 오정구 원종동,이디야성곡사거리점
"[37.524762738449574,126.80448098125247]",경기도 부천시 오정구 원종동,이디야커피부천원종사거리점
"[37.52916894392481,126.78507556556855]",경기도 부천시 오정구 오정동,이디야커피경인방송국점
"[37.50423841648311,126.7523190970434]",경기도 부천시 원미구 상2동 544-9 ,이디야 부천상동점
"[37.54787144635044,126.83577566184348]",서울특별시 강서구 화곡동 1006-1 ,이디야커피 우장산역점
"[37.56112016345559,126.80993301155426]",서울특별시 강서구 공항동 53-1 ,이디야 송정역점
"[37.55265575385384,126.82665873403252]",서울특별시 강서구 내발산동 750-9 ,이디야커피 마곡수명산점
"[37.50352820140348,126.77659039693748]",경기도 부천시 원미구 중동 1062-4 ,이디야커피 신중동역점
"[37.51241862795177,126.83240162544344]",서울특별시 양천구 신정동 784 ,이디야커피 서남병원점
"[37.50135590292698,126.77564192062943]",경기도 부천시 원미구 중동 1137-2 ,이디야 중동로데오점
"[37.53429105411521,126.83832892312078]",서울특별시 강서구 화곡1동 362-84 ,이디야커피 화곡중앙시장점
"[37.50513467620409,126.76386301686702]",경기도 부천시 원미구 중동 1033-1 ,이디야커피 부천시청역점
"[37.50197475823475,126.77102882509749]",경기도 부천시 원미구 중동 1146 ,이디야커피 부천중동중앙점
"[37.552835930603344,126.83667172317385]",서울특별시 강서구 내발산동 677-10 ,이디야커피 내발산점
"[37.54086820649909,126.83646166193256]",서울특별시 강서구 화곡3동 1067-20 2층,이디야 화곡로점
"[37.53617723842503,126.82860289052383]",서울특별시 양천구 신월5동 50-4 ,이디야 신월사거리점
