p_id,assist,goal,play,st
19930001,0,0,4,3
19940002,0,0,1,1
19940003,0,1,5,12
19970002,0,0,6,7
19970004,0,0,3,2
19970005,0,0,3,3
19970006,3,14,33,89
19970007,5,6,25,41
19970008,13,7,58,104
19970009,3,11,50,70
19970010,33,61,181,549
19970011,0,2,10,12
19970012,0,0,2,3
19970013,8,8,38,65
19970014,20,38,176,210
19970016,10,43,128,192
19970017,0,1,4,4
19970018,0,0,2,2
19970019,0,0,6,5
19970023,9,5,48,50
19970024,1,0,15,8
19970025,0,3,4,5
19970029,0,0,1,0
19970031,0,0,4,2
19970032,0,0,6,3
19970033,0,0,3,2
19970034,0,0,1,0
19970036,0,0,1,1
19970038,0,1,2,5
19970039,2,1,6,7
19970040,0,0,3,4
19970041,0,0,3,9
19970042,3,7,45,59
19970043,15,20,119,212
19970044,0,0,10,11
19970046,1,7,57,55
19970047,15,50,171,342
19970048,19,32,129,204
19970049,0,0,1,4
19970050,2,5,23,29
19970051,6,8,26,55
19970052,0,0,1,1
19970053,0,0,5,9
19970055,0,0,4,0
19970056,17,27,178,238
19970058,0,0,3,2
19970063,0,1,3,1
19970064,0,0,8,7
19970068,0,0,1,0
19970069,33,31,103,224
19970070,0,0,11,6
19970080,0,0,5,2
19970083,2,0,11,11
19970084,0,1,4,7
19970085,0,0,4,8
19970086,0,11,34,83
19970087,5,5,48,56
19970088,0,0,1,1
19970092,3,2,34,42
19970093,16,20,103,200
19970094,14,31,58,167
19970095,5,10,65,96
19970097,2,5,43,66
19970100,4,2,40,34
19970102,8,6,38,55
19970104,0,0,5,7
19970110,4,9,28,67
19970111,0,1,12,10
19970114,3,1,22,20
19970115,2,1,12,10
19970116,1,1,3,5
19970117,10,35,93,235
19970118,15,8,69,115
19970119,18,32,130,239
19970120,0,1,5,1
19970121,0,0,6,5
19970122,0,0,10,6
19970123,0,0,3,0
19970124,0,2,14,20
19970125,14,13,99,136
19970126,0,6,43,58
19970127,0,0,2,0
19970131,0,0,10,10
19970132,0,2,15,23
19970133,0,0,8,1
19970134,1,7,23,28
19970135,7,26,67,152
19970136,0,0,2,3
19970137,6,19,85,132
19970144,1,0,5,9
19970148,6,12,42,95
19970149,9,3,53,53
19970150,5,6,38,66
19970152,2,10,46,68
19970153,17,40,130,329
19970154,5,8,37,42
19970155,0,0,8,7
19970156,0,0,2,3
19970158,0,4,20,27
19970159,0,1,4,5
19970160,3,12,43,79
19970161,1,3,37,56
19970162,0,0,1,1
19970165,0,0,1,1
19970166,0,2,10,17
19970168,0,0,1,1
19970170,0,0,1,0
19970176,0,0,5,2
19970178,0,0,6,5
19970179,12,33,110,216
19970180,1,1,9,5
19970181,3,2,23,19
19970182,35,54,162,411
19970184,23,26,143,181
19970185,0,0,6,2
19970186,1,0,1,1
19970187,0,1,12,12
19970188,0,0,1,0
19970189,0,1,9,10
19970190,18,31,111,211
19970191,1,1,11,8
19970192,37,98,238,872
19970193,0,0,3,0
19970195,32,103,282,504
19970196,0,0,2,3
19970198,0,0,2,4
19970199,0,2,16,6
19970200,0,2,9,8
19970201,1,0,16,11
19970202,0,0,18,16
19970208,1,2,25,35
19970209,0,0,5,4
19970210,8,15,74,155
19970212,0,0,3,0
19970213,0,0,3,0
19970214,33,67,192,527
19970215,0,1,7,15
19970216,13,33,181,264
19970218,0,0,1,0
19970219,11,17,91,156
