Date,Opponent,GF,GA,FTR,Home,Win,CumWin,Lost,CumLost,Point,CumPoint
2014-08-17,Southampton,1.0,2.0,W,True,1,1,0,0,3,3
2014-08-25,Man City,3.0,1.0,L,False,0,1,1,1,0,3
2014-08-31,Tottenham,0.0,3.0,W,False,1,2,0,1,3,6
2014-09-13,Aston Villa,1.0,0.0,L,True,0,2,1,2,0,6
2014-09-20,West Ham,3.0,1.0,L,False,0,2,1,3,0,6
2014-09-27,Everton,1.0,1.0,D,True,0,2,0,3,1,7
2014-10-04,West Brom,1.0,2.0,W,True,1,3,0,3,3,10
2014-10-19,QPR,2.0,3.0,W,False,1,4,0,3,3,13
2014-10-25,Hull,0.0,0.0,D,True,0,4,0,3,1,14
2014-11-01,Newcastle,1.0,0.0,L,False,0,4,1,4,0,14
2014-11-08,Chelsea,2.0,1.0,L,True,0,4,1,5,0,14
2014-11-23,Crystal Palace,3.0,1.0,L,False,0,4,1,6,0,14
2014-11-29,Stoke,0.0,1.0,W,True,1,5,0,6,3,17
2014-12-02,Leicester,1.0,3.0,W,False,1,6,0,6,3,20
2014-12-06,Sunderland,0.0,0.0,D,True,0,6,0,6,1,21
2014-12-14,Man United,3.0,0.0,L,False,0,6,1,7,0,21
2014-12-21,Arsenal,2.0,2.0,D,True,0,6,0,7,1,22
2014-12-26,Burnley,0.0,1.0,W,False,1,7,0,7,3,25
2014-12-29,Swansea,1.0,4.0,W,True,1,8,0,7,3,28
2015-01-01,Leicester,2.0,2.0,D,True,0,8,0,7,1,29
2015-01-10,Sunderland,0.0,1.0,W,False,1,9,0,7,3,32
2015-01-17,Aston Villa,0.0,2.0,W,False,1,10,0,7,3,35
2015-01-31,West Ham,0.0,2.0,W,True,1,11,0,7,3,38
2015-02-07,Everton,0.0,0.0,D,False,0,11,0,7,1,39
2015-02-10,Tottenham,2.0,3.0,W,True,1,12,0,7,3,42
2015-02-22,Southampton,0.0,2.0,W,False,1,13,0,7,3,45
2015-03-01,Man City,1.0,2.0,W,True,1,14,0,7,3,48
2015-03-04,Burnley,0.0,2.0,W,True,1,15,0,7,3,51
2015-03-16,Swansea,0.0,1.0,W,False,1,16,0,7,3,54
2015-03-22,Man United,2.0,1.0,L,True,0,16,1,8,0,54
2015-04-04,Arsenal,4.0,1.0,L,False,0,16,1,9,0,54
2015-04-13,Newcastle,0.0,2.0,W,True,1,17,0,9,3,57
2015-04-25,West Brom,0.0,0.0,D,False,0,17,0,9,1,58
2015-04-28,Hull,1.0,0.0,L,False,0,17,1,10,0,58
2015-05-02,QPR,1.0,2.0,W,True,1,18,0,10,3,61
2015-05-10,Chelsea,1.0,1.0,D,False,0,18,0,10,1,62
2015-05-16,Crystal Palace,3.0,1.0,L,True,0,18,1,11,0,62
2015-05-24,Stoke,6.0,1.0,L,False,0,18,1,12,0,62
