coord,addr,name
"[37.52228259596499,126.80514275521497]",경기도 부천시 오정구 원종동 281-6 ,엔제리너스 부천원종점
"[37.56122165061352,126.80927492131158]",서울특별시 강서구 공항동 49-1 ,엔제리너스 송정역점
"[37.50408553656544,126.75661938588229]",경기도 부천시 원미구 상동 539-1 소풍상가 6층 F24,엔제리너스 부천소풍점
"[37.55932637091196,126.80272917644768]",서울특별시 강서구 공항동 1373 김포국제공항국내선청사 1F,엔제리너스 김포공항1층점
"[37.501503362023094,126.76902346443076]",경기도 부천시 원미구 중동 1152 ,엔제리너스 부천중동점
"[37.50249382081846,126.77589476909316]",경기도 부천시 원미구 중동 1140 롯데백화점중동점 1F,엔제리너스 롯데백중동식당가점
"[37.55954917993594,126.80248792690163]",서울특별시 강서구 공항동 1373 김포국제공항국내선청사 3F,엔제리너스 김포공항3층점
"[37.562851439672855,126.80293309447364]",서울특별시 강서구 방화동 886 ,엔제리너스 롯데백화점김포공항점 B2
"[37.50250468804423,126.77520470369797]",경기도 부천시 원미구 중동 1140 ,엔제리너스 롯데백화점중동점 10층
"[37.563754319330606,126.80400526355952]",서울특별시 강서구 방화동 886 롯데백화점김포공항점 B2,엔제리너스 롯데백화점김포공항점
"[37.56376332810098,126.80400511952907]",서울특별시 강서구 방화동 886 롯데백화점김포공항점 B1,엔제리너스 롯데백화점김포공항점
"[37.50429360181557,126.75498731129852]",경기도 부천시 원미구 상동 540-1 ,엔제리너스 홈플러스부천상동점
"[37.50270405341663,126.77531454341262]",경기도 부천시 원미구 중동,엔제리너스커피롯데백중동식당가점
"[37.563509309227115,126.80294520510567]",서울특별시 강서구 방화동,엔제리너스커피롯데몰김포공항3호점
"[37.55406873134938,126.8067178241996]",서울특별시 강서구 공항동,엔제리너스김포공항3층점
"[37.563385940250704,126.80321883211631]",서울특별시 강서구 방화동,엔제리너스커피롯데몰김포공항1호점
"[37.501449073845215,126.7690017368148]",경기도 부천시 원미구 중동,엔제리너스커피부천중동점
"[37.56345651884715,126.80307055753723]",서울특별시 강서구 방화동,엔제리너스커피롯데몰김포공항2호점
"[37.563814399375644,126.80371001067502]",서울특별시 강서구 방화동,엔제리너스커피롯데시네김포T/O점
"[37.56123921162277,126.80922936760486]",서울특별시 강서구 공항동,엔제리너스커피송정역점
"[37.31329751554888,127.07858020184582]",경기도 용인시 수지구 성복동 89 ,엔제리너스 용인성복데이파크점
"[37.31340502013899,127.07849991899342]",경기도 용인시 수지구 성복동,엔제리너스커피용인성복데이파크점
"[37.29157007424693,127.04308189668473]",경기도 수원시 영통구 이의동 906-5 ,엔제리너스 경기R&amp;DB점
"[37.302642366847685,127.00889894719406]",경기도 수원시 장안구 조원동 896 홈플러스 1층,엔제리너스 홈플러스북수원점
"[37.305121671901375,127.13921017012547]",경기도 용인시 기흥구 마북동 102-18 ,엔제리너스 용인마북연수원TO점
"[37.29156649261386,127.05046919141489]",경기도 수원시 영통구 이의동 1332 ,엔제리너스 롯데마트광교점
"[37.291299879266695,127.0442131388933]",경기도 수원시 영통구 이의동,엔제리너스경기R&amp;DB점
"[37.393266504802725,127.02229810602601]",경기도 의왕시 청계동,엔제리너스커피청계휴게소점
"[37.40200904831604,126.9220117331006]",경기도 안양시 만안구 안양동 88-1 롯데백화점안양점 8F,엔제리너스 롯데시네안양점
"[37.40246530444831,126.97535033895893]",경기도 안양시 동안구 관양동 1488-7 ,엔제리너스 인덕원점
