coord,addr,name
"[37.49744306400558,126.77889491473722]",경기도 부천시 원미구 중동 1112 두산위브더스테이트 8동 108호,카페베네 중동두산위브점
"[37.50624825035038,126.75493222766494]",경기도 부천시 원미구 상동 535-8 센타프라자 1층 103호,카페베네 부천상동점
"[37.547406218588584,126.8361110760529]",서울특별시 강서구 화곡동 1006-9 ,카페베네 우장산역점
"[37.50355259582373,126.7616384568111]",경기도 부천시 원미구 중동 1163-13 ,카페베네 중동현대점
"[37.50135703151884,126.77401333927895]",경기도 부천시 원미구 중동 1143-4 ,카페베네 부천중동점
"[37.50327813544851,126.77159556647399]",경기도 부천시 원미구 중동 1148 ,카페베네 부천중동이안점
"[37.50430019788236,126.75646879703956]",경기도 부천시 원미구 상동 539-1 4층,카페베네 부천터미널소풍점
"[37.30827112687864,127.08459778815315]",경기도 용인시 수지구 상현동 257-32 ,카페베네 용인상현파크점
"[37.33195944800646,127.12616402008587]",경기도 용인시 수지구 죽전동 1188-1 ,카페베네 용인죽전점
"[37.31306668140606,127.07902299704314]",경기도 용인시 수지구 성복동 70-1 ,카페베네 용인성복데이파크점
"[37.323575600940174,127.12443324612316]",경기도 용인시 수지구 죽전동 1324 ,카페베네 죽전단국대점
"[37.324309010233456,127.09732251340544]",경기도 용인시 수지구 풍덕천동 714-5 효은빌딩 1층,카페베네 용인수지점
"[37.32116522480599,127.09509229108343]",경기도 용인시 수지구 풍덕천동 1082-11 ,카페베네 용인수지2지구점
"[37.337479777825635,127.08870105783886]",경기도 용인시 수지구 동천동 417-5 ,카페베네 동천점
"[37.29791856581615,127.06968806496822]",경기도 용인시 수지구 상현동 1131-2 세현빌딩  108호,카페베네 광교마을점
"[37.32854339686534,127.07506533272405]",경기도 용인시 수지구 신봉동 149-1 ,카페베네 신봉자이점
"[37.28944962980129,127.01418090977194]",경기도 수원시 장안구 영화동 282-5 ,카페베네 수원북문점
"[37.340661497645335,127.10773532305997]",경기도 성남시 분당구 구미동 156 포스빌빌딩 1층,카페베네 분당오리역점
"[37.37869726453068,127.1151098042004]","경기도 성남시 분당구 수내동 13-3 1,2층",카페베네 수내역점
"[37.320738735601886,127.11134442102667]",경기도 용인시 기흥구 보정동 1197-3 ,카페베네 보정카페거리점
"[37.301798409486395,127.00818811929581]",경기도 수원시 장안구 송죽동 499-5 ,카페베네 수원장안구청점
"[37.35030294058688,127.10772281444522]",경기도 성남시 분당구 금곡동 165 천사의도시 오피스텔 2차 103호,카페베네 분당미금2호점
"[37.36325416699671,127.114083252062]",경기도 성남시 분당구 정자동 126-3 ,카페베네 분당신기사거리점
"[37.350259506607664,127.11033064221145]",경기도 성남시 분당구 금곡동 154 미금프라자 102,카페베네 미금역점
"[37.294483355055625,127.11887175085053]",경기도 용인시 기흥구 언남동 412-4 상신빌딩 1층,카페베네 용인구성점
"[37.28453636512758,127.0525084838931]",경기도 수원시 영통구 이의동 1369-2 1층,카페베네 수원광교신도시점
"[37.292281532203006,127.05086622556937]",경기도 수원시 영통구 이의동 1325-3 ,카페베네 광교센트럴점
"[37.28726350313878,127.03759913652264]",경기도 수원시 팔달구 우만동 228 ,카페베네 수원월드컵경기장점
"[37.29232396543861,127.06868551354579]",경기도 수원시 영통구 하동 984 ,카페베네 광교법조타운점
"[37.393348618957695,127.02242126751757]",경기도 의왕시 청계동,카페베네의왕청계휴게소일산방향점
"[37.39879907408897,126.92078147192562]",경기도 안양시 만안구 안양동 676-91 ,카페베네 안양1번가점
"[37.29587464778735,126.99387409377111]",경기도 수원시 장안구 정자동 876-6 ,카페베네 수원정자점
"[37.35935707994788,126.93240903632594]",경기도 군포시 산본동 1134-2 ,카페베네 산본역점
"[37.399711803325985,126.92304983517576]",경기도 안양시 만안구 안양1동 674-93 ,카페베네 안양로데오점
"[37.295265558551606,126.98270497211814]",경기도 수원시 장안구 천천동 528-1 세화프라자 107-109,카페베네 수원천천점
"[37.39105880340314,126.95282915026895]",경기도 안양시 동안구 호계동 1041-2 ,카페베네 범계역점
"[37.399572838903104,126.976383625279]",경기도 안양시 동안구 관양동 1503-14 ,카페베네 인덕원역점
"[37.29820719703997,126.97171327966605]",경기도 수원시 장안구 율전동 285-8 ,카페베네 수원성대역점
"[37.346114901371415,126.94383771051808]",경기도 군포시 당동 871-3 ,카페베네 군포당정역점
"[37.38299382966208,126.96094723282927]",경기도 안양시 동안구 평촌동 922-5 ,카페베네 평촌학원가점
"[37.39288719479563,126.96194001816417]",경기도 안양시 동안구 관양동 1606 ,카페베네 평촌역점
"[37.402069498897305,126.9296573631445]",경기도 안양시 동안구 비산1동 526-7 ,카페베네 대림대점
"[37.3805605333915,126.926598292253]",경기도 안양시 만안구 안양8동 400-10 ,카페베네 성결대점
"[37.401660564722,126.92233297443555]",경기도 안양시 만안구 안양동 88-1 ,카페베네 안양역사점
"[37.33663243603795,126.80968117657031]",경기도 안산시 단원구 선부동 1070-18 ,카페베네 안산선부점
"[37.31858714666177,126.83624174942068]",경기도 안산시 단원구 고잔동 534-3 ,카페베네 안산중앙점
"[37.33918810167641,126.81563324742947]",경기도 안산시 단원구 선부동 1086 ,카페베네 안산선부롯데점
"[37.31209142987463,126.82630171255501]",경기도 안산시 단원구 고잔동 711 ,카페베네 수원지법안산지원점
"[37.34085050116371,126.81517829564127]",경기도 안산시 단원구 선부동,카페베네안산선부롯데점
"[37.30838764159946,126.85197742822518]",경기도 안산시 상록구 이동 716-11 ,카페베네 안산한대앞역점
"[37.344405320737074,126.7380850697854]",경기도 시흥시 정왕동 1739-2 ,카페베네 시흥정왕점
"[37.53883245288154,127.20216053929263]",경기도 하남시 덕풍동 372-29 1층,카페베네 하남덕풍점
"[37.54029731523453,127.2136756682881]",경기도 하남시 신장동 519-2 하남코아빌딩 1층,카페베네 하남시청점
"[37.48707399022629,127.13042135292824]",서울특별시 송파구 문정동 107-2 ,카페베네 문정역점
"[37.5528014063425,127.1546248276937]",서울특별시 강동구 명일동 48-1 ,카페베네 고덕역점
"[37.538268820148446,127.13984129470542]",서울특별시 강동구 길동 378-6 길빌딩 1층,카페베네 길동점
"[37.601200749043485,127.14270726292992]",경기도 구리시 수택동 527 ,카페베네 구리돌다리점
"[37.5504230252219,127.14466989730859]",서울특별시 강동구 명일동 325-20 1층,카페베네 명일역점
"[37.493214656435875,127.14585422438884]",서울특별시 송파구 거여동 37 ,카페베네 거여역점
"[37.586735663084895,127.13977076361535]",경기도 구리시 수택동 876 ,카페베네 구리장자못공원점
"[37.58694735820396,127.2113622295743]",경기도 남양주시 와부읍 덕소리 462-9 ,카페베네 덕소역점
"[37.53531520007006,127.1351568932762]",서울특별시 강동구 길동 445-3 ,카페베네 강동역점
"[37.53470073986403,127.14481554959605]",서울특별시 강동구 둔촌동 51 ,카페베네 둔촌고교사거리점
"[37.54529342390341,127.14306499089419]",서울특별시 강동구 명일동 353-1 ,카페베네 굽은다리역점
"[37.59710942761252,127.13644657728622]","경기도 구리시 교문동 735-3 1,2층",카페베네 남양주세무서점
"[37.55493188637042,127.1352697801726]",서울특별시 강동구 암사동 447-7 ,카페베네 암사롯데캐슬점
"[37.49527757697742,127.13095954101935]",서울특별시 송파구 가락동 193-4 ,카페베네 송파중교사거리점
"[37.538269232203795,127.1398978668795]",서울특별시 강동구 길동 378-6 카페베네 5층,길동전자담배 강동구점
"[37.30188709648877,126.86465300914307]",경기도 안산시 상록구 본오동 874-11 ,카페베네 상록수역점
"[37.48571891064573,126.75285331738]",경기도 부천시 소사구 송내1동 708-2 ,카페베네 송내남부역점
"[37.48274527385191,126.78482142461166]",경기도 부천시 소사구 심곡본동 746 성원빌딩 1층,카페베네 부천남부역점
"[37.48587810378391,126.81111635042345]",경기도 부천시 원미구 역곡동 77-7 ,카페베네 역곡역점
"[37.454740184154815,126.7324132806876]",인천광역시 남동구 만수동 956 ,카페베네 만수주공사거리점
"[37.48635273010758,126.78077154537492]","경기도 부천시 원미구 심곡동 382-12 지하1층, 1층",카페베네 부천역점
"[37.49990737100799,126.74409020614065]",경기도 부천시 원미구 상동 572-1 ,카페베네 부천워터파크점
"[37.48807621012837,126.75253143975677]",경기도 부천시 원미구 상동 464-1 ,카페베네 송내북부역점
"[37.489900974751336,126.75468348033833]",경기도 부천시 원미구 상동 454 ,카페베네 송내역법원사거리점
"[37.46157987422078,126.73417418670654]",인천광역시 남동구 만수동 1120-2 1층,카페베네 인천만수시장점
"[37.479027408702976,126.84167237062263]",서울특별시 구로구 천왕동 108 이펜하우스6단지 상가동 105호,네오베네
"[37.65756833598483,126.77072375725952]",경기도 고양시 일산동구 장항동 861 효산케슬빌딩 1층,카페베네 일산 웨스턴돔점
"[37.65670138526523,126.77312931375626]",경기도 고양시 일산동구 장항동 855 양우이스턴시티 1층,카페베네 일산시티점
"[37.659627651086865,126.76947712213419]",경기도 고양시 일산동구 장항동 769 고일프라자 1층,카페베네 일산라페스타점
"[37.66768450252361,126.7993810017661]",경기도 고양시 일산동구 풍동 1273-4 ,카페베네 일산풍동점
"[37.65474976766466,126.77260612572586]","경기도 고양시 일산동구 장항동 868 웨스턴돔 2, I-108, 208호",카페베네 일산웨스턴B동점
"[37.64322219209728,126.78969029111342]",경기도 고양시 일산동구 백석동 1242 ,카페베네 고양터미널점
"[37.65324055814926,126.77650667429022]",경기도 고양시 일산동구 장항동 890-3 ,카페베네 일산마두역점
"[37.668216978980475,126.75088236426912]",경기도 고양시 일산서구 대화동 2602 레이킨스몰,카페베네 일산현대백화점점
"[37.69105331250723,126.7624611847878]",경기도 고양시 일산서구 탄현동 1563-7 ,카페베네 탄현역점
"[37.711598285362854,126.74561791608717]",경기도 파주시 동패동 56 형성프라자 1층 113호,카페베네 파주운정점
"[37.67661062919476,126.74713679764518]",경기도 고양시 일산서구 대화동 2205 ,카페베네 대화역점
"[37.633856451726565,126.83218080449703]",경기도 고양시 덕양구 화정동 972 영프라자 102호 201호,카페베네 화정광장점
"[37.66511581085443,126.7549806689259]",경기도 고양시 일산서구 대화동 2606 고양원마운트 1F 065,카페베네 일산원마운트점
"[37.670930745811795,126.76129921054802]",경기도 고양시 일산서구 주엽동 22 그랜드백화점일산점 B2,카페베네 그랜드백화점일산점
"[37.65756098064715,126.77088254227702]",경기도 고양시 일산동구 장항동 861 효산캐슬 카페베네 4층 류민에스테틱,류민에스테틱
"[37.67063961793538,126.76103200753009]",경기도 고양시 일산서구 주엽동,카페베네일산그랜드백화점점
"[37.634325951652386,126.83136905072081]",경기도 고양시 덕양구 화정동,카페베네세이브존(화정점)점
"[37.712181776593106,126.74541527507324]",경기도 파주시 동패동,카페베네운정이마트사거리점
"[37.82835861984784,127.14649269962132]",경기도 포천시 소흘읍 송우리 187 ,카페베네 송우리점
"[38.09097714402975,127.27359172553885]",경기도 포천시 영북면 운천리 506-11 ,카페베네 운천터미널점
"[37.87143532842763,127.15519121765207]",경기도 포천시 선단동,카페베네대진대점
"[37.82844077375394,127.14663942762624]",경기도 포천시 소흘읍 송우리,카페베네포천송우리점
"[37.87163270096288,127.18316120006142]",경기도 포천시 자작동,카페베네양산부산대학교병원점
"[37.74176699665098,127.08702365044086]",경기도 의정부시 민락동 734-6 ,카페베네 의정부민락점
"[37.79582509952868,127.07972774629695]",경기도 양주시 광사동 654 ,카페베네 양주고읍점
"[37.837715747155315,127.06522225055471]",경기도 양주시 덕정동 286-44 ,카페베네 양주덕정점
"[37.79950763958196,126.96129455071976]",경기도 양주시 백석읍 홍죽리,카페베네글로벌로스팅플랜트양주공장
"[37.7396579616322,127.0482124839664]","경기도 의정부시 의정부동 195-2 1,2,3층",카페베네 의정부중앙로점
"[37.65996879588972,127.07503779323484]",서울특별시 노원구 중계4동 142-3 ,카페베네 상계역점
"[37.89211632564726,127.05485955240285]",경기도 동두천시 지행동 721-2 지행역프라자 106호,카페베네 동두천지행점
"[37.72535701240112,127.04798715298615]",경기도 의정부시 호원동 426 ,카페베네 회룡역점
"[37.90487402983362,127.05369572855784]","경기도 동두천시 생연동 657-1 1,2층",카페베네 동두천중앙로점
"[37.709726467753974,127.04602095651948]",경기도 의정부시 호원동,카페베네신한대학점
"[37.433926089942105,127.01730614276828]",경기도 과천시 막계동 433 ,카페베네 서울랜드점
"[37.43314122059511,127.01719211031126]",경기도 과천시 막계동,카페베네서울랜드점
"[37.4701836809103,127.04243754333454]",서울특별시 서초구 양재동 333-5 ,카페베네 양재근린공원점
"[37.4761636086886,126.9806762492738]",서울특별시 관악구 남현동 1060-4 ,카페베네 사당역점
"[37.477550702716556,126.96096222802939]",서울특별시 관악구 봉천동 1660-15 ,카페베네 낙성대역점
"[37.463217809270965,127.03680657581462]",서울특별시 서초구 양재동 215 하이브랜드패션관 1101~2호,카페베네 양재하이브랜드점
"[37.47693077913102,126.98291572121191]",서울특별시 서초구 방배동 445-1 ,카페베네 사당역메트로점
"[37.444728595824,126.89476247480098]",경기도 광명시 소하동 1345 테크노파크 c동-105호,카페베네 광명소하점
"[37.420680945160385,126.89009995730441]",경기도 광명시 일직동 506-1 ,카페베네 광명스마트타운점
"[37.44492534172628,126.89364077293034]",경기도 광명시 소하동,카페베네광명소하점
"[37.43281624008448,127.12977258317238]",경기도 성남시 중원구 성남동 3219 ,카페베네 모란역점
"[37.43747224529412,127.14175336710247]",경기도 성남시 중원구 성남동 2126 ,카페베네 성남수진역점
"[37.444673102654704,127.158227490081]",경기도 성남시 중원구 금광동 10 ,카페베네 단대오거리역점
"[37.44679684055714,127.16673640748445]",경기도 성남시 중원구 금광2동 3117 ,카페베네 성남신구대점
"[37.43927011744014,127.17532913090459]",경기도 성남시 중원구 상대원동 138-7 ,카페베네 한국섬유기술연구원점
"[37.40900605428285,127.12923476916924]",경기도 성남시 분당구 야탑동 513 ,카페베네 분당야탑역점
"[37.4434584710706,127.13970730642453]",경기도 성남시 수정구 태평2동 7288-13 ,카페베네 성남중앙점
"[37.44010466036456,127.12960908500652]",경기도 성남시 수정구 수진동 2965 ,카페베네 성남태평역점
"[37.39731730503793,127.11202222486281]",경기도 성남시 분당구 삼평동 660 ,카페베네 판교역점
"[37.44253058183657,127.15095107399492]",경기도 성남시 수정구 신흥동 2475 고려빌딩 1층,카페베네 성남신흥점
"[37.41308211914341,127.12967333688029]",경기도 성남시 분당구 야탑동 361-1 ,카페베네 야탑중앙점
"[37.45467604835321,127.16091848746736]",경기도 성남시 수정구 양지동 875 ,카페베네 남한산성역점
"[37.48241975456264,127.12611081529079]",서울특별시 송파구 문정동 71-6 ,카페베네 문정애이콤점
"[36.997317001855016,127.1034043657055]",경기도 평택시 비전2동 818 평택문화신문 3층,카페베네 평택본점
"[37.003732878842726,127.10457618137771]",경기도 평택시 비전동 1015-5 ,카페베네 평택소사벌점
"[37.0569833980049,127.053883761723]",경기도 평택시 서정동 429-10 ,카페베네 평택서정리역점
"[37.0665020591048,127.06218793008036]",경기도 평택시 서정동 847-2 ,카페베네 송탄출장소점
"[37.08099297292764,127.0532368222998]",경기도 평택시 신장동 324-22 ,카페베네 송탄신장점
"[37.14537852491677,127.06818273055929]",경기도 오산시 오산동 881-16 ,카페베네 오산역점
"[37.131702770099345,126.9218629245489]",경기도 화성시 향남읍 행정리 474-5 ,카페베네 화성향남점
"[37.07644112224261,127.13199525617142]",경기도 안성시 원곡면 산하리 산68-7 ,카페베네 안성휴게소상행점
"[37.14885413588683,126.87095233852096]",경기도 화성시 팔탄면 덕천리 102 ,카페베네 화성휴게소상행점
"[36.94055831608775,126.79076940403162]",충청남도 당진시 송악읍 복운리 1-218 1층,카페베네 당진송악점
"[37.06669154189594,127.06221933187066]",경기도 평택시 서정동,카페베네송탄출장소점입구
"[37.14363327749803,126.879123059915]",경기도 화성시 팔탄면 덕천리,카페베네화성휴게소하행점
"[37.07632007626942,127.13269390955958]",경기도 안성시 원곡면 산하리,카페베네안성휴게소서울방향점
"[37.144281759706274,126.87909097805368]",경기도 화성시 팔탄면 덕천리,카페베네화성휴게소2호하행점
"[37.143670649889934,126.8811711148101]",경기도 화성시 팔탄면 덕천리,카페베네화성휴게소상행점
"[38.02628495407075,127.0676835217216]",경기도 연천군 전곡읍 전곡리 480-15 ,카페베네 전곡터미널점
"[37.47846849220227,126.85365414850203]",경기도 광명시 광명4동 158-797 ,카페베네 광명사거리역점
"[37.47396479019783,126.86970881541032]",경기도 광명시 철산동 426 서림빌딩 1층,카페베네 철산점
"[37.472352594503036,126.87639185439338]",경기도 광명시 철산동 367 ,카페베네 광명세이브존점
"[37.47110202753466,126.89860233224009]",서울특별시 금천구 독산동 287-2 금형회관 1층,카페베네 독산사거리점
"[37.50013539422862,126.86640791576508]",서울특별시 구로구 고척동 76-368 ,카페베네 고척동양대점
"[37.48140329785767,126.88349253546336]",서울특별시 금천구 가산동 50-3 대륭포스트타워6차 106호,카페베네 가산디지털단지역점
"[37.46640133320547,126.88735567689386]",서울특별시 금천구 가산동 691-3 더루벤스벨리 109-2호,카페베네 독산역점
"[37.49410702739756,126.85887713692433]",서울특별시 구로구 개봉동 202-13 ,카페베네 개봉역점
"[37.499850389892174,126.89721889466071]",서울특별시 영등포구 대림3동 779-10 ,카페베네 대림점
"[37.49710516124321,126.85677329313361]",서울특별시 구로구 개봉동 353-42 ,카페베네 개봉사거리점
"[37.47728888883605,126.88766912002158]",서울특별시 금천구 가산동 60-27 1층,카페베네 가산W몰점
"[37.47065492867288,126.87789821536012]",경기도 광명시 철산동,카페베네광명세이브존점
"[37.49285199183213,126.88311857588552]",서울특별시 구로구 구로동 413-107 ,헤어베네cafe
"[37.49285124351533,126.88303942895928]",서울특별시 구로구 구로동,헤어베네카페
"[37.249980339485724,127.02265340899251]",경기도 수원시 권선구 권선동 1192-1 102-202호,카페베네 수원버스터미널점
"[37.2738880138731,126.9431675387389]",경기도 수원시 권선구 금곡동 572-5 ,카페베네 수원호매실점
"[37.264484572186085,127.03323284606466]",경기도 수원시 팔달구 인계동 1119 샤르망 107,카페베네 수원인계점
"[37.26770199667981,127.00074325532931]",경기도 수원시 팔달구 매산로1가 11-15 ,카페베네 수원역점
"[37.279085081201906,127.0446946292832]",경기도 수원시 영통구 원천동 16-2 ,카페베네 아주대정문점
"[37.2731282864536,127.05021596536197]",경기도 수원시 영통구 매탄동 102-22 ,카페베네 수원매탄점
"[37.25913690457724,127.04380800453644]",경기도 수원시 영통구 매탄동 1267-3 ,카페베네 영통구청점
"[37.27539200041439,127.0426327201871]",경기도 수원시 팔달구 우만동 85-1 ,카페베네 수원아주대삼거리점
"[37.22271722927081,126.96787131277696]",경기도 화성시 봉담읍 동화리 113 ,카페베네 봉담이마트점
"[37.278674499430615,127.03186737591398]",경기도 수원시 팔달구 우만동 561-15 ,카페베네 동수원점
"[37.27644364753669,127.01594045553722]",경기도 수원시 팔달구 팔달로3가 84-1 1층,카페베네 수원팔달문점
"[37.26764803291839,127.00075524306708]",경기도 수원시 팔달구 매산로1가,카페베네
"[37.27309197530916,127.05018259505842]",경기도 수원시 영통구 매탄동,카페베네수원매탄점
"[37.409146998831396,127.25825568586994]",경기도 광주시 경안동 32-1 ,카페베네 광주경안점
"[37.53855549988479,127.1273344626404]",서울특별시 강동구 천호동 453-8 원방빌딩 1층,카페베네 천호점
"[37.38740988056469,127.12347690312225]",경기도 성남시 분당구 서현동 253-2 1층,카페베네 분당서현점
"[37.38385517771365,127.15002091021066]",경기도 성남시 분당구 율동 300 ,카페베네 분당율동점
"[37.53728077876303,127.12676092642283]",서울특별시 강동구 성내동 9-14 ,카페베네 천호역점
"[37.27125176664658,127.15197618843649]",경기도 용인시 기흥구 중동 848-3 ,카페베네 동백역점
"[37.38575900437233,127.12565297076317]",경기도 성남시 분당구 서현동 246-2 신영팰리스타워101호,카페베네 분당서현로데오점
"[37.52971929824546,127.12288915920563]",서울특별시 강동구 성내동 552 ,카페베네 강동구청점
