coord,addr,name
"[37.50380028448786,126.77415434253784]",경기도 부천시 원미구 중동 1058-5 ,스타벅스 신중동역점
"[37.50541300944734,126.75262753922486]",경기도 부천시 원미구 상동 544-4 ,스타벅스 부천상동점
"[37.52949798932593,126.83197703906416]",서울특별시 양천구 신월동 205-50 ,스타벅스 신월IC DT점
"[37.54061619745844,126.83740476165849]",서울특별시 강서구 화곡동 1073-9 ,스타벅스 화곡동점
"[37.4979195975082,126.77705510477135]",경기도 부천시 원미구 중동 1131-5 ,스타벅스 부천중동점
"[37.5051666954363,126.76261838593256]",경기도 부천시 원미구 중동 1031-2 ,스타벅스 부천시청역점
"[37.50432165384467,126.76108287801651]",경기도 부천시 원미구 중동 1165-1 ,스타벅스 현대백화점유플렉스중동점
"[37.504308379854336,126.76153549318965]",경기도 부천시 원미구 중동 1164 현대백화점중동점 B1,스타벅스 현대백화점중동점
"[37.325790238573006,127.10967140769175]",경기도 용인시 수지구 죽전동 1282 이마트죽전점 1F,스타벅스 이마트죽전점
"[37.33150694653871,127.1246797363765]",경기도 용인시 수지구 죽전동 1191-2 ,스타벅스 죽전점
"[37.314121899680686,127.0791455035369]",경기도 용인시 수지구 성복동 83-2 ,스타벅스 수지성복DT점
"[37.335956438286125,127.09097644482182]",경기도 용인시 수지구 동천동 946-2 1~3층,스타벅스 수지동천점
"[37.32220361581622,127.09537319501483]",경기도 용인시 수지구 풍덕천동 1080-11 비즈마루빌딩 1층,스타벅스 수지풍덕천점
"[37.298960173581364,127.06922406136971]",경기도 용인시 수지구 상현동 1119-1 신대프라자 1층,스타벅스 광교중앙로점
"[37.32494202742282,127.10831613791296]",경기도 용인시 수지구 죽전동 1289 신세계백화점 4층,스타벅스 신세계경기점
"[37.324509716902305,127.10834381258604]",경기도 용인시 수지구 죽전동 1289 신세계백화점경기점 9F,스타벅스 신세계백화점경기점 9층
"[37.319796551180495,127.0835102929406]",경기도 용인시 수지구 신봉동 909 ,스타벅스 수지이마트점
"[37.3667942939492,127.10674858048051]",경기도 성남시 분당구 정자동 19-6 ,스타벅스 정자역점
"[37.37980033236246,127.11440806203504]","경기도 성남시 분당구 수내동 10-1 분당트라팰리스 112, 113호",스타벅스 수내점
"[37.350241555780066,127.10675285306426]",경기도 성남시 분당구 금곡동 168 ,스타벅스 미금역점
